iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,secs
1,256,0,0.4492,9372,-0.00184,0.60594,1.1533,0.00109,0.0049,1.0026,,7.3
2,256,0,0.4648,9816,-0.00219,0.58922,1.1207,0.00056,0.0023,1.0040,,7.3
3,256,0,0.4961,9477,-0.00006,0.57448,1.1097,0.00083,0.0117,1.0040,,7.1
4,256,0,0.4961,9689,-0.00069,0.56779,1.1200,0.00125,0.0070,1.0032,,7.2
5,256,0,0.4727,9423,0.00143,0.55004,1.0966,0.00138,0.0079,1.0040,,7.0
6,256,0,0.5430,9551,-0.00143,0.59337,1.1036,0.00153,0.0149,1.0044,,7.2
7,256,0,0.4805,9497,0.00115,0.57738,1.1375,0.00145,0.0110,1.0054,,7.1
8,256,0,0.5234,9590,-0.00021,0.55358,1.1221,0.00172,0.0130,1.0056,,7.2
9,256,0,0.4883,9587,-0.00440,0.54163,1.0881,0.00124,0.0156,1.0057,,7.2
10,256,0,0.4648,9422,-0.00074,0.55395,1.0707,0.00219,0.0109,1.0058,0.5201,11.5
11,256,0,0.5352,9377,-0.00059,0.54220,1.0698,0.00180,0.0105,1.0041,,6.8
12,256,0,0.5312,9559,-0.00194,0.53729,1.0971,0.00059,0.0038,1.0015,,7.3
13,256,0,0.5273,9506,0.00173,0.53655,1.0571,0.00065,0.0045,0.9999,,6.9
14,256,0,0.4766,9675,-0.00048,0.55931,1.0770,0.00094,0.0052,0.9991,,7.3
15,256,0,0.5078,9817,-0.00115,0.54817,1.0436,0.00119,0.0057,0.9997,,7.4
16,256,0,0.5586,10277,-0.01892,0.56971,1.0548,0.00062,0.0045,1.0010,,7.5
17,256,0,0.5781,9575,-0.00002,0.55160,1.0372,0.00145,0.0068,1.0029,,7.1
18,256,0,0.5352,9790,-0.00093,0.55853,1.0325,0.00104,0.0053,1.0028,,7.2
19,256,0,0.4844,9769,-0.00148,0.54315,1.0201,0.00069,0.0006,1.0005,,7.2
20,256,0,0.6016,9826,-0.00342,0.54657,1.0300,0.00129,0.0073,0.9996,0.6968,11.8
21,256,0,0.4922,9825,-0.00311,0.53566,1.0251,0.00088,0.0102,0.9996,,7.2
22,256,0,0.5391,9669,-0.00198,0.55012,1.0346,0.00123,0.0101,0.9995,,7.5
23,256,0,0.5820,9522,0.00022,0.54388,1.0492,0.00175,0.0046,1.0013,,7.1
24,256,0,0.5273,9491,0.00022,0.53542,1.0326,0.00165,0.0197,1.0019,,7.2
25,256,0,0.6094,9874,-0.00111,0.54469,1.0273,0.00052,0.0026,1.0030,,7.2
26,256,0,0.5508,10110,-0.00238,0.52998,1.0052,0.00180,0.0152,1.0044,,7.4
27,256,0,0.6445,9760,-0.00070,0.53289,1.0166,0.00234,0.0139,1.0042,,7.3
28,256,0,0.5352,9466,-0.00308,0.56593,0.9864,0.00184,0.0160,1.0067,,7.1
29,256,0,0.5391,10010,-0.00182,0.56094,1.0299,0.00178,0.0099,1.0061,,7.4
30,256,0,0.5352,9604,-0.00100,0.54093,1.0107,-0.00001,0.0017,1.0077,0.7241,11.8
31,256,0,0.5820,9887,-0.00240,0.54179,0.9983,0.00126,0.0096,1.0067,,7.5
32,256,0,0.5273,10190,-0.00139,0.53995,1.0003,0.00092,0.0037,1.0059,,7.5
33,256,0,0.5469,9326,0.00092,0.53509,1.0267,0.00096,0.0073,1.0046,,6.9
34,256,0,0.5664,9432,0.00082,0.53748,1.0291,0.00078,0.0037,1.0065,,7.0
35,256,0,0.5664,10116,-0.00195,0.52911,1.0038,0.00067,0.0071,1.0078,,7.5
36,256,0,0.5586,9692,-0.00219,0.51830,0.9940,0.00094,0.0098,1.0110,,7.2
37,256,0,0.5195,10140,-0.00217,0.51075,1.0251,0.00282,0.0139,1.0106,,7.3
38,256,0,0.6055,9907,-0.00253,0.50710,1.0054,0.00060,0.0019,1.0088,,7.1
39,256,0,0.6172,9452,-0.00250,0.50088,1.0090,0.00184,0.0103,1.0074,,7.0
40,256,0,0.5547,9709,-0.00183,0.53037,0.9986,0.00141,0.0091,1.0098,0.6868,11.7
41,256,0,0.5898,9924,-0.00182,0.52287,0.9678,0.00087,0.0042,1.0105,,7.3
42,256,0,0.5508,9687,-0.00236,0.53406,0.9559,0.00075,0.0015,1.0088,,7.3
43,256,0,0.5742,9652,-0.00204,0.51172,0.9671,0.00108,0.0138,1.0075,,7.4
44,256,0,0.6562,9415,-0.00071,0.53260,0.9545,0.00180,0.0097,1.0092,,7.0
45,256,0,0.5586,9632,-0.00002,0.51553,0.9435,0.00185,0.0112,1.0111,,7.2
46,256,0,0.5312,9369,0.00186,0.52843,0.9692,0.00131,0.0129,1.0106,,6.9
47,256,0,0.5195,9596,-0.00120,0.50404,0.9285,0.00022,0.0006,1.0123,,7.2
48,256,0,0.5820,9656,-0.00313,0.50839,0.9743,0.00106,0.0099,1.0131,,7.2
49,256,0,0.5859,9615,-0.00280,0.51107,0.9429,0.00153,0.0118,1.0137,,7.0
50,256,0,0.5586,9721,-0.00227,0.50811,0.9689,0.00090,0.0116,1.0122,0.5503,11.9
51,256,0,0.5625,9552,-0.00363,0.53519,0.9517,0.00105,0.0030,1.0133,,7.0
52,256,0,0.5742,9264,-0.00204,0.51515,0.9796,0.00109,0.0098,1.0162,,6.9
53,256,0,0.5859,9619,-0.00370,0.52192,0.9773,0.00134,0.0043,1.0152,,7.2
54,256,0,0.6523,9123,-0.00186,0.53271,0.9918,0.00073,0.0043,1.0143,,6.9
55,256,0,0.6016,9479,-0.00469,0.49557,0.9560,0.00235,0.0115,1.0127,,6.9
56,256,0,0.5859,9471,-0.00333,0.49016,0.9548,0.00224,0.0116,1.0149,,7.2
57,256,0,0.5703,9350,-0.00345,0.50709,0.9616,0.00265,0.0101,1.0129,,6.8
58,256,0,0.5625,9168,-0.00278,0.50605,0.9484,0.00140,0.0169,1.0116,,7.1
59,256,0,0.5664,9550,-0.00464,0.49950,0.9467,0.00215,0.0184,1.0125,,7.3
60,256,0,0.6523,9162,-0.00252,0.51821,1.0118,0.00121,0.0156,1.0124,0.6092,11.6
