iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,secs
1,256,0,0.6016,7943,-0.00263,0.59517,1.0181,0.00066,0.0151,0.9997,,6.8
2,256,0,0.5938,7968,-0.00218,0.55193,1.0051,0.00083,0.0024,1.0004,,6.4
3,256,0,0.6641,8341,-0.00664,0.49876,1.0020,0.00129,0.0011,0.9997,,6.4
4,256,0,0.6875,8620,0.00054,0.48455,1.0150,0.00131,0.0063,0.9984,,6.6
5,256,0,0.6953,8414,-0.00283,0.45015,1.0041,0.00182,0.0134,0.9993,,6.7
6,256,0,0.6875,8658,-0.00529,0.47759,1.0083,0.00130,0.0068,0.9996,,6.9
7,256,0,0.5898,8162,-0.00208,0.49939,0.9858,0.00143,0.0119,1.0014,,6.6
8,256,0,0.6289,8008,-0.00151,0.47733,1.0207,0.00036,0.0022,1.0020,,6.4
9,256,0,0.6562,8371,0.00090,0.46061,1.0135,0.00136,0.0023,1.0032,,6.5
10,256,0,0.6641,8093,-0.00178,0.46210,1.0057,0.00097,0.0173,1.0028,0.7112,10.8
11,256,0,0.6953,8605,-0.00160,0.45673,1.0004,0.00236,0.0135,1.0029,,6.7
12,256,0,0.6367,8055,-0.00217,0.45895,1.0157,0.00054,0.0033,1.0016,,6.3
13,256,0,0.6328,8543,-0.00403,0.51119,1.0016,0.00163,0.0149,1.0027,,6.9
14,256,0,0.6172,8047,-0.00193,0.47564,1.0134,0.00114,0.0052,1.0034,,6.3
15,256,0,0.6836,8291,0.00137,0.45693,0.9921,0.00055,0.0045,1.0044,,6.5
16,256,0,0.6133,8108,-0.00148,0.47767,1.0045,0.00134,0.0071,1.0043,,6.3
17,256,0,0.6406,7856,-0.00149,0.44792,1.0146,0.00039,0.0045,1.0030,,6.1
18,256,0,0.6914,8134,-0.00180,0.44622,1.0014,0.00129,0.0038,1.0030,,6.2
19,256,0,0.7188,8372,0.00006,0.42719,1.0297,0.00030,0.0108,1.0030,,6.4
20,256,0,0.6328,8107,-0.00191,0.45420,1.0416,0.00157,0.0167,1.0029,0.7198,10.3
21,256,0,0.6914,8201,-0.00411,0.46516,1.0155,0.00390,0.0539,1.0044,,5.8
22,256,0,0.6953,8364,-0.00147,0.43371,1.0050,0.00073,0.0074,1.0053,,6.5
23,256,0,0.6836,8292,-0.00845,0.43412,1.0110,0.00131,0.0109,1.0059,,6.4
24,256,0,0.6523,8514,0.00113,0.44469,1.0015,0.00084,0.0064,1.0066,,6.7
25,256,0,0.6562,8286,0.00067,0.45524,0.9625,0.00300,0.0328,1.0088,,6.4
26,256,0,0.7070,8754,-0.00231,0.42567,0.9685,0.00103,0.0005,1.0089,,6.8
27,256,0,0.6602,8141,-0.00209,0.43025,0.9851,0.00271,0.0191,1.0082,,6.4
28,256,0,0.6484,8030,-0.00124,0.43037,0.9731,0.00157,0.0030,1.0091,,6.2
29,256,0,0.6523,8407,-0.00565,0.45338,0.9700,0.00073,0.0018,1.0094,,6.5
30,256,0,0.6719,8719,-0.00338,0.43460,0.9746,0.00231,0.0193,1.0101,0.6437,11.2
31,256,0,0.6719,8550,0.00167,0.44710,0.9785,0.00065,0.0028,1.0096,,6.5
32,256,0,0.6367,8445,-0.00481,0.42680,0.9571,0.00114,0.0127,1.0106,,6.6
