iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,secs
1,256,0,0.1875,6535,-0.00228,0.44807,1.0498,0.00086,0.0021,1.0022,,5.6
2,256,0,0.1875,6720,-0.00114,0.39943,1.0383,0.00085,0.0018,1.0051,,5.5
3,256,0,0.1992,6886,-0.00110,0.39695,1.0601,0.00063,0.0003,1.0047,,5.5
4,256,0,0.1914,6753,-0.00224,0.38170,1.0297,0.00057,0.0001,1.0064,,5.3
5,256,0,0.1914,6838,-0.00110,0.37040,1.0207,0.00006,0.0000,1.0083,,5.4
6,256,0,0.2031,6929,-0.00088,0.38339,1.0091,0.00052,0.0025,1.0065,,5.5
7,256,0,0.2266,6447,-0.00294,0.39341,1.0390,0.00009,0.0000,1.0052,,5.2
8,256,0,0.2148,6679,-0.00037,0.38776,1.0264,-0.00013,0.0000,1.0069,,5.3
9,256,0,0.2422,6583,0.00059,0.40815,0.9760,-0.00002,0.0000,1.0072,,5.3
10,256,0,0.2461,6413,0.00018,0.41176,1.0054,0.00027,0.0000,1.0076,0.2299,9.1
11,256,0,0.2227,6516,0.00062,0.38546,1.0098,0.00020,0.0000,1.0091,,5.2
12,256,0,0.2148,6459,-0.00387,0.38091,0.9776,0.00090,0.0008,1.0083,,5.3
13,256,0,0.2930,6780,0.00023,0.43253,0.9706,0.00076,0.0002,1.0082,,5.6
14,256,0,0.1836,6582,-0.00244,0.38310,0.9761,0.00062,0.0003,1.0069,,5.2
15,256,0,0.2051,6664,-0.00096,0.39663,0.9855,0.00021,0.0000,1.0097,,5.3
16,256,0,0.2031,6624,-0.00296,0.37795,0.9773,-0.00014,0.0000,1.0126,,5.4
17,256,0,0.2578,6630,-0.00047,0.42181,0.9403,0.00029,0.0000,1.0145,,5.4
18,256,0,0.2617,6689,-0.00361,0.41710,0.9191,0.00010,0.0000,1.0138,,5.4
19,256,0,0.2305,6872,-0.00063,0.35575,0.9177,0.00037,0.0000,1.0141,,5.4
