iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,secs
1,256,0,0.5781,9391,-0.00390,0.56147,0.8352,0.00133,0.0108,1.0024,,7.5
2,256,0,0.6406,9069,-0.00179,0.52880,0.7945,0.00051,0.0051,1.0027,,6.9
3,256,0,0.5664,8689,-0.00191,0.49844,0.7798,0.00067,0.0036,1.0056,,6.6
4,256,0,0.6250,9787,-0.00247,0.50879,0.7349,0.00076,0.0054,1.0087,,7.2
5,256,0,0.5938,9756,-0.00149,0.46225,0.7183,0.00074,0.0005,1.0106,,7.3
6,256,0,0.6055,9200,-0.00179,0.46052,0.7083,0.00119,0.0055,1.0123,,6.8
7,256,0,0.6055,9706,0.00006,0.47118,0.6981,0.00043,0.0038,1.0150,,7.4
8,256,0,0.6172,9827,-0.00180,0.48597,0.6931,0.00085,0.0075,1.0151,,7.4
9,256,0,0.5664,9933,-0.00045,0.47241,0.7137,0.00034,0.0005,1.0166,,7.5
10,256,0,0.6016,9488,-0.00394,0.43936,0.6899,0.00094,0.0069,1.0156,0.7098,12.4
11,256,0,0.6523,9569,-0.00180,0.44729,0.6786,0.00145,0.0115,1.0181,,7.1
12,256,0,0.6797,9585,-0.00081,0.43817,0.6920,0.00056,0.0035,1.0179,,7.2
13,256,0,0.6992,9478,-0.00250,0.45094,0.6720,0.00139,0.0065,1.0198,,7.0
14,256,0,0.6172,9300,-0.00688,0.43618,0.6929,0.00077,0.0014,1.0197,,7.0
15,256,0,0.6133,9499,-0.00032,0.43545,0.6773,0.00066,0.0027,1.0219,,7.2
16,256,0,0.6094,9421,0.00114,0.42990,0.6769,0.00051,0.0058,1.0208,,6.9
17,256,0,0.6367,9489,0.00030,0.43367,0.6798,0.00119,0.0032,1.0197,,7.1
18,256,0,0.5547,9647,-0.00238,0.45022,0.6792,-0.00000,0.0034,1.0224,,7.2
19,256,0,0.6211,9637,-0.00148,0.46379,0.6828,0.00072,0.0059,1.0234,,7.2
20,256,0,0.6016,9590,-0.00023,0.44272,0.7115,0.00073,0.0026,1.0211,0.6638,12.3
21,256,0,0.6406,9421,-0.00046,0.43737,0.7073,0.00032,0.0003,1.0222,,7.0
22,256,0,0.5859,9428,-0.00470,0.46446,0.6986,0.00181,0.0044,1.0238,,7.1
23,256,0,0.5938,9357,-0.00010,0.43234,0.6993,0.00069,0.0036,1.0263,,7.0
24,256,0,0.6445,9814,-0.00248,0.46623,0.6940,0.00147,0.0085,1.0234,,7.4
25,256,0,0.6367,9778,-0.00162,0.44582,0.7195,0.00088,0.0039,1.0227,,7.2
26,256,0,0.5820,9848,-0.00198,0.47779,0.7125,0.00063,0.0026,1.0224,,7.4
27,256,0,0.6562,9110,-0.00108,0.45727,0.7226,-0.00005,0.0043,1.0239,,6.8
28,256,0,0.5547,9704,0.00003,0.49983,0.7246,0.00082,0.0081,1.0225,,7.4
29,256,0,0.5781,9463,-0.00385,0.45367,0.7040,0.00088,0.0033,1.0236,,7.1
30,256,0,0.6172,10066,-0.00117,0.44395,0.6911,0.00090,0.0040,1.0214,0.5761,12.8
31,256,0,0.6836,9463,0.00187,0.41340,0.7341,0.00027,0.0001,1.0203,,6.9
32,256,0,0.6406,9936,-0.00118,0.45537,0.7211,0.00118,0.0036,1.0240,,7.3
33,256,0,0.6523,9353,-0.00043,0.41103,0.7092,0.00179,0.0150,1.0247,,7.0
34,256,0,0.5742,9868,-0.00023,0.43232,0.7217,0.00131,0.0058,1.0251,,7.2
35,256,0,0.6992,9834,-0.00013,0.43212,0.7112,0.00003,0.0010,1.0251,,7.6
36,256,0,0.6172,10208,-0.00161,0.44042,0.7513,0.00197,0.0122,1.0218,,7.5
37,256,0,0.6211,9764,0.00023,0.43117,0.7163,0.00083,0.0058,1.0206,,7.3
38,256,0,0.6602,9900,-0.00090,0.43487,0.7457,0.00093,0.0031,1.0197,,7.4
39,256,0,0.6562,9709,-0.00302,0.46172,0.7412,0.00041,0.0021,1.0213,,7.2
40,256,0,0.6562,9940,-0.00072,0.44613,0.7223,-0.00004,0.0008,1.0205,0.4971,12.8
41,256,0,0.6523,9680,-0.00005,0.40477,0.7333,0.00044,0.0019,1.0203,,7.1
42,256,0,0.6250,9695,-0.00327,0.41098,0.7276,0.00168,0.0109,1.0192,,7.2
43,256,0,0.6406,9872,-0.00078,0.43219,0.7167,0.00016,0.0017,1.0209,,7.3
44,256,0,0.6133,9777,-0.00071,0.43769,0.7064,0.00061,0.0027,1.0201,,7.4
45,256,0,0.6211,10015,-0.00116,0.43671,0.7054,0.00023,0.0026,1.0200,,7.3
46,256,0,0.6250,9984,-0.00193,0.43749,0.7285,0.00075,0.0110,1.0228,,7.3
47,256,0,0.5977,10010,-0.00198,0.42199,0.7033,0.00071,0.0015,1.0223,,7.4
48,256,0,0.7109,10009,-0.00102,0.41804,0.7015,0.00077,0.0119,1.0177,,7.3
49,256,0,0.6367,9898,-0.00061,0.41988,0.7030,0.00000,0.0018,1.0183,,7.4
50,256,0,0.6211,10117,-0.00110,0.43166,0.7070,0.00062,0.0004,1.0188,0.5647,12.8
51,256,0,0.6133,9893,-0.00093,0.40526,0.7208,0.00073,0.0067,1.0174,,7.1
52,256,0,0.5898,9944,-0.00209,0.43399,0.7281,0.00074,0.0128,1.0189,,7.5
53,256,0,0.6055,10150,-0.00113,0.41094,0.7316,0.00152,0.0069,1.0194,,7.6
54,256,0,0.5977,9909,-0.00057,0.43970,0.6943,0.00109,0.0128,1.0218,,7.2
55,256,0,0.5898,9886,-0.00094,0.39014,0.6694,0.00040,0.0005,1.0202,,7.2
56,256,0,0.6094,10028,-0.00128,0.40022,0.6581,0.00126,0.0087,1.0222,,7.2
57,256,0,0.6211,9927,0.00036,0.40166,0.6646,0.00110,0.0034,1.0215,,7.0
58,256,0,0.6680,10108,-0.00127,0.40533,0.6803,0.00067,0.0035,1.0206,,7.4
59,256,0,0.5625,10580,-0.00093,0.41382,0.6827,0.00004,0.0046,1.0209,,7.7
60,256,0,0.6680,9863,-0.00141,0.40745,0.6890,0.00024,0.0000,1.0209,0.6652,12.4
