iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
1,256,0,0.5742,8200,0.01096,0.55525,1.0199,0.00134,0.0215,0.9997,,0.94173,0.6545,0.5793,0.3000,7.7
2,256,0,0.6367,8364,-0.00051,0.53798,0.9975,0.00079,0.0030,0.9993,,0.95450,0.6574,0.5733,0.2958,7.6
3,256,0,0.6562,8516,-0.00305,0.52440,1.0086,0.00029,0.0019,0.9997,,0.94267,0.6676,0.5684,0.2915,7.8
4,256,0,0.6367,8383,0.00325,0.51340,0.9933,0.00050,0.0003,0.9997,,0.94056,0.6566,0.5674,0.2873,7.8
5,256,0,0.6328,8524,-0.00166,0.48598,1.0109,0.00077,0.0006,1.0002,,0.96185,0.6497,0.5644,0.2831,9.9
6,256,0,0.6445,8338,-0.00569,0.46296,0.9833,0.00113,0.0009,1.0007,,0.93580,0.6592,0.5699,0.2788,11.7
7,256,0,0.6719,8447,0.00137,0.45838,0.9931,0.00050,0.0022,1.0006,,0.94653,0.6548,0.5659,0.2746,11.0
8,256,0,0.6914,8607,-0.00649,0.45650,0.9857,0.00186,0.0099,1.0003,,0.94588,0.6560,0.5714,0.2703,9.4
9,256,0,0.6602,8565,-0.00265,0.43916,0.9878,0.00195,0.0034,1.0006,,0.93453,0.6586,0.5669,0.2661,8.1
10,256,0,0.7031,8811,0.00001,0.43139,0.9774,0.00035,0.0001,1.0005,0.8060,0.93949,0.6658,0.5644,0.2619,12.9
11,256,0,0.6484,8253,-0.00132,0.43290,0.9979,0.00089,0.0021,1.0008,,0.93832,0.6543,0.5644,0.2576,7.6
12,256,0,0.6992,8708,-0.00196,0.44541,0.9927,0.00109,0.0091,1.0004,,0.94535,0.6517,0.5594,0.2534,8.0
13,256,0,0.6875,8526,0.00059,0.43541,0.9912,0.00091,0.0059,1.0025,,0.94109,0.6518,0.5604,0.2492,8.2
14,256,0,0.6172,8577,-0.00179,0.45535,0.9825,0.00069,0.0030,1.0023,,0.94011,0.6663,0.5589,0.2449,7.7
15,256,0,0.7266,8827,-0.00124,0.42516,0.9842,0.00157,0.0101,1.0025,,0.93654,0.6644,0.5644,0.2407,8.1
16,256,0,0.7031,8371,0.00188,0.42609,0.9750,0.00129,0.0048,1.0036,,0.93607,0.6560,0.5674,0.2364,7.5
17,256,0,0.6523,8361,-0.00268,0.44577,0.9683,0.00041,0.0029,1.0038,,0.92991,0.6593,0.5743,0.2322,7.7
18,256,0,0.7148,8477,-0.00128,0.42044,0.9712,0.00054,0.0020,1.0034,,0.93148,0.6597,0.5743,0.2280,8.4
19,256,0,0.6484,8373,0.00131,0.44937,0.9815,0.00105,0.0014,1.0031,,0.95515,0.6536,0.5733,0.2237,9.4
20,256,0,0.6562,8535,0.00218,0.42272,0.9772,0.00130,0.0104,1.0036,0.6480,0.94734,0.6498,0.5669,0.2195,20.4
21,256,0,0.6055,8528,0.00054,0.45929,0.9872,0.00051,0.0021,1.0043,,0.94225,0.6528,0.5659,0.2153,8.0
22,256,0,0.6719,8795,-0.00165,0.46913,0.9768,0.00192,0.0113,1.0050,,0.92337,0.6637,0.5724,0.2110,8.0
23,256,0,0.6797,8512,-0.00037,0.45197,0.9897,0.00151,0.0155,1.0056,,0.92559,0.6674,0.5699,0.2068,8.1
24,256,0,0.6797,8334,-0.00322,0.44230,0.9835,0.00180,0.0140,1.0050,,0.93977,0.6589,0.5684,0.2025,7.6
25,256,0,0.6641,8555,-0.00245,0.45666,0.9898,0.00149,0.0048,1.0043,,0.94400,0.6615,0.5609,0.1983,7.8
