iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
1,256,0,0.5664,10090,-0.00399,0.59293,0.9165,0.00165,0.0116,0.9994,,0.70988,0.7528,0.6675,0.3000,9.1
2,256,0,0.5547,10064,-0.00293,0.57181,0.9251,0.00163,0.0130,0.9982,,0.72608,0.7513,0.6683,0.2958,10.4
3,256,0,0.5938,9678,-0.00367,0.55602,0.9261,0.00093,0.0087,0.9991,,0.71913,0.7479,0.6657,0.2915,11.7
4,256,0,0.5898,9836,-0.00199,0.53502,0.9603,0.00092,0.0053,0.9977,,0.72271,0.7504,0.6645,0.2873,13.4
5,256,0,0.5820,9766,-0.00335,0.52328,0.9610,0.00081,0.0094,0.9982,,0.71716,0.7501,0.6650,0.2831,13.3
6,256,0,0.5898,10441,-0.00194,0.52092,0.9415,0.00187,0.0229,0.9993,,0.71790,0.7505,0.6616,0.2788,10.9
7,256,0,0.5977,10090,-0.00239,0.50213,0.9181,0.00196,0.0107,0.9991,,0.69798,0.7574,0.6624,0.2746,8.6
8,256,0,0.5664,9829,-0.00449,0.51323,0.9228,0.00222,0.0185,0.9998,,0.72173,0.7509,0.6628,0.2703,8.8
9,256,0,0.5859,10373,-0.00812,0.51809,0.9223,0.00160,0.0178,0.9997,,0.71858,0.7491,0.6643,0.2661,9.1
10,256,0,0.6016,9853,-0.00317,0.49241,0.9118,0.00152,0.0126,0.9992,0.5776,0.71536,0.7497,0.6638,0.2619,13.7
11,256,0,0.5898,9822,-0.00277,0.52480,0.9419,0.00080,0.0063,0.9993,,0.70216,0.7565,0.6642,0.2576,8.9
12,256,0,0.5977,10036,-0.00416,0.52672,0.9245,0.00179,0.0134,0.9995,,0.70676,0.7550,0.6585,0.2534,8.9
13,256,0,0.6328,9781,-0.00360,0.49902,0.9278,0.00152,0.0110,0.9983,,0.69090,0.7624,0.6594,0.2492,8.6
14,256,0,0.6406,9840,-0.00396,0.50279,0.9196,0.00201,0.0128,0.9970,,0.72529,0.7471,0.6567,0.2449,8.8
15,256,0,0.5742,9920,-0.00397,0.51461,0.9142,0.00285,0.0121,0.9968,,0.70998,0.7522,0.6615,0.2407,8.8
16,256,0,0.5820,10146,-0.00336,0.52189,0.9042,0.00140,0.0134,0.9963,,0.70367,0.7538,0.6620,0.2364,8.8
17,256,0,0.5742,9876,-0.00442,0.49514,0.9272,0.00179,0.0136,0.9968,,0.70628,0.7562,0.6579,0.2322,12.6
18,256,0,0.6211,9987,-0.00250,0.53073,0.9442,0.00109,0.0118,0.9983,,0.71806,0.7520,0.6596,0.2280,13.7
19,256,0,0.5859,9730,-0.00481,0.55137,0.9412,0.00222,0.0155,0.9988,,0.71215,0.7558,0.6566,0.2237,12.1
20,256,0,0.6016,9924,-0.00364,0.53270,0.9205,0.00164,0.0194,0.9989,0.5833,0.69984,0.7593,0.6527,0.2195,18.3
21,256,0,0.5820,9593,-0.00063,0.53326,0.9157,0.00201,0.0170,1.0002,,0.70158,0.7555,0.6560,0.2153,8.6
22,256,0,0.6172,9853,-0.00272,0.52718,0.9026,0.00139,0.0211,1.0012,,0.69994,0.7560,0.6615,0.2110,8.6
23,256,0,0.5742,9585,-0.00460,0.51704,0.9338,0.00189,0.0103,1.0018,,0.70867,0.7521,0.6623,0.2068,8.6
24,256,0,0.5977,10065,-0.00401,0.52741,0.9088,0.00238,0.0151,1.0032,,0.71171,0.7516,0.6589,0.2025,8.9
25,256,0,0.6484,10001,-0.00311,0.50571,0.9088,0.00148,0.0067,1.0019,,0.71443,0.7437,0.6582,0.1983,8.9
26,256,0,0.5312,10070,-0.00378,0.51596,0.8940,0.00141,0.0112,1.0014,,0.70993,0.7520,0.6613,0.1941,8.9
27,256,0,0.6172,9821,-0.00239,0.51671,0.9061,0.00209,0.0116,1.0020,,0.71379,0.7512,0.6592,0.1898,8.8
28,256,0,0.5859,10179,-0.00351,0.53660,0.9120,0.00147,0.0128,1.0027,,0.70154,0.7591,0.6583,0.1856,8.9
29,256,0,0.6016,9717,-0.00285,0.51078,0.9072,0.00055,0.0099,1.0037,,0.71132,0.7468,0.6585,0.1814,8.5
30,256,0,0.6484,10182,-0.00352,0.52089,0.9089,0.00208,0.0069,1.0039,0.7687,0.71206,0.7475,0.6568,0.1771,15.6
31,256,0,0.6680,9802,-0.00271,0.49774,0.9021,0.00095,0.0082,1.0045,,0.69788,0.7567,0.6563,0.1729,13.3
32,256,0,0.5547,10024,-0.00376,0.49413,0.8807,0.00110,0.0101,1.0038,,0.72889,0.7497,0.6589,0.1686,13.8
33,256,0,0.6211,9579,-0.00397,0.50715,0.9206,0.00214,0.0154,1.0050,,0.69701,0.7607,0.6618,0.1644,11.7
34,256,0,0.6133,10001,-0.00241,0.50542,0.9139,0.00168,0.0108,1.0050,,0.69977,0.7531,0.6601,0.1602,8.9
35,256,0,0.6172,10028,-0.00240,0.50041,0.9269,0.00128,0.0100,1.0051,,0.70471,0.7525,0.6609,0.1559,8.8
36,256,0,0.5977,9807,-0.00505,0.49342,0.9146,0.00071,0.0117,1.0060,,0.72748,0.7397,0.6596,0.1517,8.9
37,256,0,0.6055,9812,-0.00554,0.50120,0.8888,0.00222,0.0207,1.0055,,0.71298,0.7482,0.6615,0.1475,8.7
38,256,0,0.6289,9707,-0.00148,0.48990,0.8761,0.00137,0.0101,1.0036,,0.72100,0.7457,0.6581,0.1432,8.8
39,256,0,0.6523,9413,-0.00875,0.47166,0.8957,0.00192,0.0133,1.0038,,0.71590,0.7447,0.6583,0.1390,8.5
40,256,0,0.6250,9415,-0.00736,0.48697,0.8686,0.00138,0.0180,1.0046,0.5144,0.71099,0.7477,0.6570,0.1347,13.0
41,256,0,0.6484,10220,-0.00306,0.48423,0.9188,0.00126,0.0106,1.0031,,0.70803,0.7550,0.6582,0.1305,9.2
42,256,0,0.5508,9641,-0.00319,0.50664,0.8832,0.00093,0.0132,1.0038,,0.71705,0.7491,0.6592,0.1263,8.7
43,256,0,0.6797,9908,-0.00335,0.50368,0.9018,0.00239,0.0261,1.0040,,0.72114,0.7466,0.6544,0.1220,9.5
44,256,0,0.5586,9999,-0.00407,0.50876,0.8896,0.00252,0.0205,1.0045,,0.70635,0.7541,0.6517,0.1178,13.1
45,256,0,0.5938,10019,-0.00453,0.52919,0.8853,0.00163,0.0103,1.0029,,0.73396,0.7411,0.6514,0.1136,13.7
46,256,0,0.5703,10231,-0.00306,0.51625,0.8736,0.00148,0.0120,1.0041,,0.70457,0.7533,0.6541,0.1093,13.9
47,256,0,0.6250,9625,-0.00371,0.50390,0.8865,0.00158,0.0130,1.0045,,0.71821,0.7498,0.6497,0.1051,11.0
48,256,0,0.6562,10186,-0.00338,0.46989,0.9076,0.00123,0.0149,1.0037,,0.70432,0.7537,0.6530,0.1008,9.1
49,256,0,0.6328,10130,-0.00411,0.50888,0.8884,0.00269,0.0166,1.0027,,0.73247,0.7492,0.6529,0.0966,8.8
