iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
1,256,0,0.6914,8788,-0.00381,0.58927,1.1593,0.00165,0.0197,1.0001,,1.02797,0.6290,0.5561,0.3000,8.0
2,256,0,0.7266,9109,-0.00267,0.50722,1.1602,0.00091,0.0119,1.0006,,1.04509,0.6233,0.5519,0.2958,8.2
3,256,0,0.7266,8969,-0.00281,0.47193,1.1589,0.00166,0.0078,1.0001,,1.03236,0.6251,0.5548,0.2915,8.3
4,256,0,0.6914,9005,-0.00209,0.45765,1.1237,0.00120,0.0048,0.9998,,1.02883,0.6286,0.5537,0.2873,7.9
5,256,0,0.7461,9185,-0.00388,0.44217,1.1439,0.00175,0.0162,0.9990,,1.02110,0.6272,0.5528,0.2831,8.0
6,256,0,0.6836,8918,-0.00202,0.45055,1.1353,0.00097,0.0046,0.9992,,1.01853,0.6362,0.5524,0.2788,8.3
7,256,0,0.7109,9027,-0.00366,0.42841,1.1418,0.00217,0.0159,0.9989,,1.03931,0.6252,0.5550,0.2746,8.2
8,256,0,0.7109,9349,-0.00007,0.43706,1.1488,0.00118,0.0097,0.9999,,1.03714,0.6244,0.5539,0.2703,9.4
9,256,0,0.7461,8998,-0.00294,0.39888,1.1071,0.00207,0.0058,1.0015,,1.02061,0.6412,0.5506,0.2661,11.5
10,256,0,0.6719,8736,-0.00230,0.42789,1.1076,0.00239,0.0110,1.0021,0.8807,1.02748,0.6317,0.5541,0.2619,19.6
11,256,0,0.7070,8925,-0.00381,0.42925,1.1115,0.00143,0.0044,1.0024,,1.02618,0.6364,0.5579,0.2576,11.8
12,256,0,0.7109,9245,-0.00182,0.41745,1.1055,0.00170,0.0193,1.0009,,1.02753,0.6299,0.5561,0.2534,8.4
13,256,0,0.7344,8942,-0.00271,0.41095,1.1158,0.00220,0.0177,1.0004,,1.04524,0.6265,0.5550,0.2492,7.9
14,256,0,0.7324,9322,-0.00578,0.38222,1.1228,0.00282,0.0324,1.0010,,1.03690,0.6239,0.5521,0.2449,8.4
15,256,0,0.6973,9210,-0.00262,0.43827,1.1252,0.00184,0.0066,1.0015,,1.02364,0.6276,0.5528,0.2407,8.3
16,256,0,0.7578,9363,-0.00208,0.38695,1.0987,0.00049,0.0042,1.0014,,1.03078,0.6319,0.5557,0.2364,8.2
17,256,0,0.6992,9394,-0.00412,0.40378,1.1097,0.00091,0.0099,1.0009,,1.00552,0.6348,0.5530,0.2322,8.4
18,256,0,0.7266,8814,-0.00402,0.38229,1.0917,0.00182,0.0184,1.0017,,1.01650,0.6283,0.5530,0.2280,8.0
19,256,0,0.6992,8904,-0.00328,0.39181,1.1169,0.00227,0.0133,1.0024,,1.01660,0.6315,0.5535,0.2237,8.0
20,256,0,0.7031,8988,-0.00348,0.40873,1.1160,0.00180,0.0145,1.0035,0.7859,1.02488,0.6267,0.5546,0.2195,12.3
21,256,0,0.7617,9174,-0.00337,0.38955,1.1187,0.00122,0.0198,1.0029,,1.02486,0.6330,0.5530,0.2153,8.4
22,256,0,0.7227,9234,0.01670,0.40998,1.1053,0.00314,0.0495,1.0033,,1.01395,0.6364,0.5524,0.2110,10.6
23,256,0,0.6953,8900,-0.00274,0.42430,1.0939,0.00276,0.0110,1.0034,,1.03007,0.6236,0.5530,0.2068,11.8
24,256,0,0.7148,9371,-0.00073,0.40112,1.0995,0.00225,0.0149,1.0036,,1.01674,0.6326,0.5532,0.2025,11.9
25,256,0,0.6914,9217,-0.00500,0.37333,1.0655,0.00842,0.0157,1.0041,,1.04037,0.6293,0.5550,0.1983,11.1
26,256,0,0.7070,9018,0.00016,0.41101,1.1396,0.00643,0.0715,1.0056,,1.02979,0.6240,0.5535,0.1941,10.7
27,256,0,0.7305,8987,-0.00157,0.39408,1.1282,0.00178,0.0046,1.0064,,1.02041,0.6289,0.5555,0.1898,7.9
28,256,0,0.7266,9290,-0.00509,0.41121,1.1254,0.00181,0.0164,1.0068,,1.01567,0.6338,0.5574,0.1856,8.3
29,256,0,0.7305,9173,-0.00286,0.41456,1.1306,0.00164,0.0127,1.0066,,1.02120,0.6374,0.5568,0.1814,8.1
30,256,0,0.7656,9354,-0.00459,0.37230,1.1396,0.00147,0.0088,1.0068,0.6437,1.00835,0.6422,0.5559,0.1771,13.0
31,256,0,0.7266,8901,-0.00358,0.39389,1.1006,0.00096,0.0070,1.0074,,1.02671,0.6286,0.5555,0.1729,8.1
