iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
1,256,0,0.5938,8690,-0.00314,0.59478,0.9036,0.00258,0.0181,1.0017,,0.83324,0.6987,0.5246,0.3000,7.9
2,256,0,0.5547,8608,-0.00459,0.55614,0.8830,0.00034,0.0110,1.0039,,0.83282,0.6913,0.5197,0.2958,7.6
3,256,0,0.5898,8286,0.00225,0.54128,0.8799,0.00115,0.0098,1.0026,,0.82243,0.6964,0.5206,0.2915,7.1
4,256,0,0.6055,8650,-0.00304,0.53184,0.8666,0.00198,0.0097,1.0003,,0.83521,0.6897,0.5244,0.2873,7.6
5,256,0,0.6055,8802,-0.00230,0.51431,0.8458,0.00108,0.0060,1.0009,,0.84404,0.6917,0.5221,0.2831,7.7
6,256,0,0.5820,8661,-0.00401,0.52133,0.8724,0.00163,0.0070,1.0015,,0.83679,0.6955,0.5221,0.2788,7.7
7,256,0,0.5918,8571,-0.00343,0.53499,0.8642,0.00161,0.0104,0.9993,,0.84666,0.6949,0.5261,0.2746,7.5
8,256,0,0.5605,8872,-0.00383,0.53499,0.8806,0.00205,0.0157,0.9989,,0.81856,0.6943,0.5268,0.2703,8.0
9,256,0,0.6211,8559,0.00064,0.52172,0.8816,0.00129,0.0118,0.9994,,0.83710,0.7010,0.5248,0.2661,7.3
10,256,0,0.5859,8319,-0.00334,0.50673,0.8561,0.00156,0.0175,0.9994,0.6595,0.83576,0.6915,0.5231,0.2619,12.3
11,256,0,0.6055,8290,-0.00182,0.49099,0.8598,0.00087,0.0069,1.0014,,0.81976,0.7036,0.5314,0.2576,7.3
12,256,0,0.5605,8623,-0.00209,0.52499,0.8544,0.00028,0.0071,1.0030,,0.80787,0.7037,0.5240,0.2534,7.4
13,256,0,0.5488,8463,-0.00118,0.49894,0.8596,0.00213,0.0078,1.0038,,0.83467,0.6961,0.5291,0.2492,7.6
14,256,0,0.6250,8736,-0.00212,0.51264,0.8472,0.00234,0.0155,1.0025,,0.83230,0.6911,0.5285,0.2449,7.5
15,256,0,0.6152,8913,-0.00126,0.50453,0.8815,0.00044,0.0051,1.0030,,0.81735,0.6981,0.5302,0.2407,7.7
16,256,0,0.6523,8551,-0.00246,0.51820,0.8538,0.00123,0.0117,1.0040,,0.82702,0.6954,0.5272,0.2364,7.5
17,256,0,0.5898,8634,-0.00284,0.49916,0.8626,0.00188,0.0094,1.0038,,0.82751,0.6975,0.5263,0.2322,7.4
18,256,0,0.5781,8886,-0.00289,0.49499,0.8680,0.00074,0.0097,1.0043,,0.83762,0.6936,0.5244,0.2280,7.6
19,256,0,0.6055,8754,-0.00203,0.49702,0.8528,0.00120,0.0084,1.0040,,0.82427,0.7014,0.5244,0.2237,7.7
20,256,0,0.6562,8649,-0.00155,0.47277,0.8683,0.00177,0.0110,1.0048,0.5632,0.84201,0.6906,0.5323,0.2195,12.5
21,256,0,0.5645,8633,-0.00360,0.47939,0.8800,0.00162,0.0060,1.0030,,0.81776,0.7071,0.5325,0.2153,7.4
22,256,0,0.6445,8711,-0.00221,0.49672,0.8571,0.00148,0.0088,1.0034,,0.82100,0.7000,0.5302,0.2110,7.5
23,256,0,0.5430,8488,-0.00273,0.49594,0.8553,0.00195,0.0120,1.0051,,0.84756,0.6831,0.5342,0.2068,7.7
24,256,0,0.5703,8797,-0.00284,0.49548,0.8744,0.00188,0.0105,1.0062,,0.83021,0.6900,0.5352,0.2025,7.6
25,256,0,0.6426,8705,-0.00259,0.49525,0.8451,0.00078,0.0097,1.0069,,0.81929,0.7021,0.5352,0.1983,7.6
26,256,0,0.6602,8737,-0.00112,0.50155,0.8562,0.00126,0.0056,1.0062,,0.83547,0.6892,0.5301,0.1941,7.5
27,256,0,0.5547,8484,-0.00431,0.52467,0.8505,0.00140,0.0084,1.0061,,0.82415,0.6916,0.5310,0.1898,7.4
28,256,0,0.6055,8624,-0.00057,0.49029,0.8333,0.00093,0.0057,1.0067,,0.83080,0.6880,0.5352,0.1856,7.4
29,256,0,0.6133,8669,-0.00059,0.46947,0.8286,0.00207,0.0152,1.0085,,0.83710,0.6909,0.5289,0.1814,7.6
30,256,0,0.6387,8914,-0.00212,0.47289,0.8272,0.00126,0.0097,1.0085,0.7055,0.83114,0.6855,0.5297,0.1771,13.0
31,256,0,0.5898,8426,-0.00602,0.46680,0.8219,0.00223,0.0254,1.0105,,0.82045,0.6981,0.5291,0.1729,7.1
32,256,0,0.6367,8856,-0.00217,0.48709,0.8426,0.00112,0.0039,1.0109,,0.82204,0.6965,0.5301,0.1686,7.4
33,256,0,0.6270,8653,-0.00208,0.46934,0.8490,0.00063,0.0087,1.0127,,0.82835,0.6919,0.5323,0.1644,7.5
34,256,0,0.6055,8951,-0.00233,0.47769,0.8425,0.00249,0.0089,1.0142,,0.82719,0.6915,0.5308,0.1602,7.8
35,256,0,0.6094,8933,-0.00246,0.49206,0.8640,0.00100,0.0082,1.0148,,0.80039,0.7062,0.5280,0.1559,7.5
36,256,0,0.6328,8715,-0.00152,0.48220,0.8415,0.00041,0.0027,1.0143,,0.82079,0.6951,0.5276,0.1517,7.5
