iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
1,256,0,0.6172,8841,-0.00215,0.57159,0.9981,0.00174,0.0085,0.9993,,0.83517,0.7013,0.6507,0.3000,7.4
2,256,0,0.5898,9060,-0.00298,0.51873,0.9718,0.00058,0.0063,1.0004,,0.85135,0.7003,0.6501,0.2958,7.5
3,256,0,0.5430,9269,0.00403,0.46830,0.9795,0.00065,0.0015,0.9992,,0.84453,0.7004,0.6473,0.2915,7.5
4,256,0,0.5898,9554,-0.00140,0.42211,0.9660,0.00142,0.0030,0.9979,,0.84886,0.6979,0.6484,0.2873,7.5
5,256,0,0.4727,9217,-0.01601,0.48225,0.9675,0.01267,0.0004,0.9989,,0.82058,0.7102,0.6422,0.2831,5.8
6,256,0,0.5586,9446,-0.00061,0.42928,0.9508,0.00199,0.0087,0.9980,,0.84300,0.6977,0.6427,0.2788,7.6
7,256,0,0.6172,9478,-0.00134,0.43013,0.9426,0.00059,0.0048,0.9982,,0.83947,0.6927,0.6467,0.2746,7.4
8,256,0,0.5801,9457,-0.00150,0.42788,0.9721,0.00049,0.0146,0.9972,,0.85437,0.6956,0.6461,0.2703,7.4
9,256,0,0.6484,9270,-0.00029,0.40550,0.9772,0.00237,0.0043,0.9971,,0.85131,0.6951,0.6450,0.2661,7.4
10,256,0,0.6113,9029,-0.00198,0.38918,0.9809,0.00101,0.0027,0.9965,0.6394,0.84375,0.6990,0.6461,0.2619,11.2
11,256,0,0.5898,9656,-0.00069,0.38118,0.9440,0.00224,0.0108,0.9986,,0.83943,0.7028,0.6478,0.2576,7.5
12,256,0,0.5469,9319,-0.00104,0.39949,0.9400,0.00097,0.0053,0.9986,,0.84507,0.6985,0.6461,0.2534,7.3
13,256,0,0.5508,9108,-0.00229,0.43650,0.9290,0.00078,0.0014,0.9979,,0.85349,0.6966,0.6473,0.2492,7.2
14,256,0,0.5938,9084,-0.00163,0.38883,0.9543,0.00043,0.0050,0.9949,,0.84279,0.6980,0.6512,0.2449,7.1
15,256,0,0.5781,9456,-0.00079,0.41232,0.9466,0.00028,0.0004,0.9973,,0.84528,0.7026,0.6439,0.2407,7.5
16,256,0,0.6367,9152,-0.00164,0.39713,0.9467,0.00042,0.0010,0.9962,,0.83282,0.7002,0.6422,0.2364,7.3
17,256,0,0.5684,9112,-0.00287,0.42253,0.9497,0.00142,0.0039,0.9955,,0.83332,0.6987,0.6422,0.2322,7.2
18,256,0,0.5898,9085,-0.00165,0.38124,0.9240,0.00082,0.0018,0.9968,,0.84650,0.6956,0.6405,0.2280,7.2
