iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.7578,9361,-0.00469,0.53001,1.2454,0.00458,0.0399,0.9992,,1.07885,0.6025,0.5019,0.5000,0.5167,7.5
2,256,0,0.6797,9339,-0.00232,0.51013,1.2424,0.00177,0.0170,0.9992,,1.08085,0.5979,0.5038,0.4949,0.5382,7.6
3,256,0,0.7031,9424,-0.00493,0.48949,1.2208,0.00095,0.0073,0.9984,,1.06421,0.6089,0.4944,0.4898,0.5394,7.5
4,256,0,0.7266,9236,0.00518,0.47667,1.2388,0.00246,0.0077,1.0003,,1.05114,0.6126,0.4981,0.4847,0.5286,7.5
5,256,0,0.6953,9447,0.00025,0.47404,1.2526,0.00226,0.0061,1.0003,,1.06449,0.6089,0.5094,0.4797,0.5560,7.6
6,256,0,0.7422,9418,-0.00270,0.48200,1.2271,0.00061,0.0023,1.0024,,1.04701,0.6206,0.5056,0.4746,0.5750,7.6
7,256,0,0.6992,9725,-0.00198,0.47639,1.2310,0.00117,0.0030,1.0023,,1.05432,0.6136,0.5019,0.4695,0.5855,7.7
8,256,0,0.6914,9582,-0.00043,0.47773,1.2101,0.00119,0.0032,1.0025,,1.06249,0.6045,0.5038,0.4644,0.5782,7.7
9,256,0,0.6484,9691,-0.00359,0.50425,1.2211,0.00130,0.0118,1.0032,,1.06789,0.6125,0.5056,0.4593,0.5735,7.6
10,256,0,0.7227,9668,-0.00178,0.49363,1.2053,0.00120,0.0012,1.0051,0.7065,1.05381,0.6069,0.5056,0.4542,0.5980,14.1
11,256,0,0.6836,9321,-0.00502,0.45961,1.2055,0.00219,0.0023,1.0049,,1.06075,0.6084,0.5075,0.4492,0.5722,7.4
12,256,0,0.6836,9262,-0.00714,0.47470,1.1966,0.00299,0.0077,1.0042,,1.04790,0.6184,0.5075,0.4441,0.5806,6.7
13,256,0,0.6836,8800,-0.00002,0.47473,1.2050,0.00170,0.0064,1.0052,,1.05530,0.6101,0.4981,0.4390,0.5279,7.1
14,256,0,0.6367,9108,-0.00165,0.47320,1.2226,0.00206,0.0100,1.0063,,1.05267,0.6131,0.4925,0.4339,0.5133,7.2
15,256,0,0.7422,9570,-0.00067,0.45486,1.2076,0.00074,0.0090,1.0074,,1.04810,0.6140,0.4906,0.4288,0.5744,7.7
16,256,0,0.6406,9142,-0.00211,0.47940,1.1825,0.00052,0.0030,1.0089,,1.05597,0.6111,0.4962,0.4237,0.5454,7.4
17,256,0,0.6953,9573,-0.00381,0.46790,1.1975,0.00159,0.0080,1.0088,,1.05618,0.6121,0.5000,0.4186,0.5454,7.7
18,256,0,0.6914,9470,-0.00391,0.45902,1.1865,0.00108,0.0019,1.0083,,1.05526,0.6117,0.4981,0.4136,0.5503,7.5
19,256,0,0.6328,9640,-0.00218,0.47767,1.1959,0.00053,0.0009,1.0091,,1.06302,0.6062,0.4981,0.4085,0.5270,7.7
20,256,0,0.6582,9719,-0.00105,0.49670,1.2028,0.00114,0.0059,1.0096,0.8641,1.04520,0.6205,0.5019,0.4034,0.5660,14.7
21,256,0,0.7148,9418,0.00229,0.45022,1.2018,0.00139,0.0057,1.0091,,1.06557,0.6107,0.4981,0.3983,0.5856,7.6
22,256,0,0.6836,9216,-0.00206,0.46469,1.1570,0.00165,0.0113,1.0102,,1.04393,0.6150,0.5132,0.3932,0.5636,7.3
23,256,0,0.7109,9733,-0.00198,0.46775,1.2111,0.00136,0.0038,1.0098,,1.05597,0.6165,0.5075,0.3881,0.5650,7.8
24,256,0,0.6602,9319,0.00638,0.48043,1.1894,0.00159,0.0121,1.0085,,1.04801,0.6172,0.5019,0.3831,0.5416,7.5
25,256,0,0.6719,9656,-0.00199,0.47213,1.1970,0.00128,0.0057,1.0091,,1.05173,0.6183,0.5075,0.3780,0.5541,7.5
26,256,0,0.6582,9357,-0.00419,0.47368,1.1888,0.00133,0.0063,1.0098,,1.05737,0.6104,0.4981,0.3729,0.5540,7.7
27,256,0,0.6445,9254,-0.00706,0.46810,1.1867,0.00084,0.0090,1.0092,,1.04723,0.6158,0.5038,0.3678,0.5556,7.4
28,256,0,0.7148,9641,-0.00278,0.44624,1.1769,0.00143,0.0176,1.0115,,1.05618,0.6084,0.5094,0.3627,0.5759,7.9
29,256,0,0.6719,9508,-0.00514,0.45085,1.1624,0.00174,0.0115,1.0138,,1.02656,0.6220,0.5094,0.3576,0.5649,7.5
30,256,0,0.7070,9897,-0.00153,0.43922,1.1724,0.00223,0.0098,1.0140,0.6793,1.04588,0.6227,0.5038,0.3525,0.5324,14.2
31,256,0,0.7148,9972,-0.00270,0.43993,1.1801,0.00076,0.0087,1.0141,,1.05671,0.6199,0.5056,0.3475,0.5393,7.7
32,256,0,0.7109,9478,-0.00571,0.44222,1.1812,0.00072,0.0070,1.0144,,1.05531,0.6101,0.5019,0.3424,0.5512,7.4
33,256,0,0.6875,9294,0.00648,0.45030,1.1661,0.00272,0.0165,1.0142,,1.04354,0.6169,0.5132,0.3373,0.5876,7.6
34,256,0,0.7188,9359,0.00089,0.40126,1.2005,0.00170,0.0062,1.0151,,1.04858,0.6204,0.5075,0.3322,0.5790,7.4
35,256,0,0.7070,9675,-0.00260,0.45323,1.1805,0.00162,0.0106,1.0172,,1.04445,0.6205,0.5150,0.3271,0.5981,7.6
36,256,0,0.7383,9927,-0.00379,0.43913,1.1803,0.00166,0.0064,1.0177,,1.02437,0.6219,0.5075,0.3220,0.6187,8.0
37,256,0,0.7656,9484,-0.00024,0.39164,1.1680,0.00080,0.0044,1.0177,,1.04577,0.6143,0.5094,0.3169,0.6045,7.4
38,256,0,0.6992,9746,-0.00380,0.44814,1.1679,0.00102,0.0118,1.0177,,1.05110,0.6104,0.5075,0.3119,0.5934,7.9
39,256,0,0.7188,9235,0.01137,0.44803,1.1427,0.00306,0.0233,1.0168,,1.04922,0.6125,0.5056,0.3068,0.5898,7.4
40,256,0,0.6953,9302,0.00585,0.45484,1.2026,0.00246,0.0121,1.0180,0.7418,1.04008,0.6194,0.5056,0.3017,0.5831,13.9
41,256,0,0.6953,9165,-0.00316,0.44061,1.1677,0.00055,0.0108,1.0190,,1.04514,0.6172,0.5056,0.2966,0.5687,7.1
42,256,0,0.7188,9491,0.00153,0.44421,1.1638,0.00233,0.0064,1.0196,,1.04778,0.6145,0.5150,0.2915,0.5981,7.6
43,256,0,0.6836,9194,-0.00261,0.43411,1.1556,0.00130,0.0075,1.0211,,1.02617,0.6206,0.5169,0.2864,0.5641,7.3
44,256,0,0.7461,9193,-0.00235,0.41131,1.1454,0.00162,0.0087,1.0210,,1.02579,0.6203,0.5132,0.2814,0.5795,7.5
45,256,0,0.7109,9239,-0.01044,0.42393,1.1364,0.00147,0.0059,1.0222,,1.04084,0.6219,0.5132,0.2763,0.5903,7.5
46,256,0,0.6992,9382,-0.00024,0.44314,1.1574,0.00135,0.0139,1.0220,,1.03870,0.6236,0.5188,0.2712,0.5991,7.4
47,256,0,0.6914,8978,-0.00141,0.44191,1.1194,0.00129,0.0032,1.0230,,1.04264,0.6158,0.5226,0.2661,0.5798,7.3
48,256,0,0.7070,9120,-0.00291,0.41629,1.1559,0.00066,0.0091,1.0224,,1.02449,0.6204,0.5094,0.2610,0.5988,7.3
49,256,0,0.7070,9324,-0.00620,0.44354,1.1428,0.00290,0.0170,1.0221,,1.04558,0.6200,0.5113,0.2559,0.6010,7.3
50,256,0,0.7109,9522,-0.00302,0.42407,1.1544,0.00195,0.0056,1.0222,0.7745,1.07049,0.6050,0.5132,0.2508,0.5921,14.6
51,256,0,0.6523,9384,-0.00056,0.43510,1.1393,0.00206,0.0104,1.0232,,1.03661,0.6228,0.5113,0.2458,0.5376,7.4
52,256,0,0.6875,9339,0.00026,0.43643,1.1573,0.00189,0.0145,1.0232,,1.04233,0.6165,0.5132,0.2407,0.5577,7.5
53,256,0,0.6328,9252,-0.00585,0.46275,1.1411,0.00341,0.0128,1.0247,,1.03857,0.6217,0.5169,0.2356,0.5047,7.4
54,256,0,0.6719,9138,-0.00337,0.44701,1.1208,0.00288,0.0179,1.0247,,1.02859,0.6265,0.5056,0.2305,0.5086,7.4
55,256,0,0.7852,8974,-0.00336,0.38859,1.1291,0.00259,0.0229,1.0245,,1.04867,0.6211,0.5132,0.2254,0.5540,7.4
56,256,0,0.7305,9154,-0.00263,0.40129,1.1419,0.00096,0.0138,1.0251,,1.04817,0.6136,0.5113,0.2203,0.5918,7.4
57,256,0,0.7070,9103,-0.00267,0.41482,1.1476,0.00153,0.0120,1.0259,,1.02340,0.6199,0.5188,0.2153,0.6045,7.3
