iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.5430,9693,-0.00174,0.54751,0.7801,0.00155,0.0133,1.0018,,0.81225,0.7069,0.5938,0.5000,0.4062,8.0
2,256,0,0.4375,9602,-0.00364,0.54126,0.7438,0.00151,0.0138,1.0021,,0.80928,0.7108,0.5980,0.4949,0.3369,7.4
3,256,0,0.4375,10256,0.00341,0.56081,0.7699,0.00044,0.0144,1.0019,,0.80677,0.7151,0.5968,0.4898,0.2896,8.1
4,256,0,0.3438,9618,-0.00142,0.50008,0.7311,0.00117,0.0052,1.0025,,0.81221,0.7075,0.5962,0.4847,0.2416,7.5
5,256,0,0.4062,9750,-0.00108,0.51713,0.7208,0.00023,0.0030,1.0035,,0.80937,0.7096,0.5891,0.4797,0.2245,7.5
6,256,0,0.4180,10041,-0.00212,0.49639,0.7076,0.00021,0.0066,1.0049,,0.81371,0.7080,0.5938,0.4746,0.2336,7.9
7,256,0,0.4219,9964,-0.00146,0.49749,0.7118,0.00006,0.0003,1.0052,,0.80504,0.7095,0.6010,0.4695,0.2336,7.9
8,256,0,0.3633,9289,-0.00362,0.49590,0.7247,0.00100,0.0055,1.0057,,0.82237,0.7019,0.5938,0.4644,0.2359,7.3
9,256,0,0.3867,9707,-0.00151,0.46281,0.7059,0.00127,0.0061,1.0065,,0.81233,0.7063,0.5980,0.4593,0.2217,7.6
10,256,0,0.3906,10043,-0.00148,0.48264,0.7090,0.00124,0.0039,1.0080,0.6495,0.80416,0.7121,0.5980,0.4542,0.2207,15.3
11,256,0,0.3828,9583,0.00011,0.50937,0.7256,0.00012,0.0008,1.0084,,0.79631,0.7164,0.5974,0.4492,0.2245,7.5
12,256,0,0.3984,9833,-0.00078,0.49478,0.7061,0.00114,0.0055,1.0086,,0.81041,0.7086,0.5974,0.4441,0.2131,7.7
13,256,0,0.4258,10138,-0.00054,0.51456,0.7225,0.00114,0.0038,1.0076,,0.82366,0.7028,0.5968,0.4390,0.2080,7.8
14,256,0,0.4180,10177,-0.00097,0.50887,0.7277,0.00032,0.0007,1.0084,,0.79612,0.7125,0.5950,0.4339,0.2090,7.8
15,256,0,0.3281,9758,0.00033,0.48451,0.7039,0.00084,0.0026,1.0081,,0.79378,0.7182,0.5950,0.4288,0.1924,7.5
16,256,0,0.3867,9751,-0.00077,0.47492,0.6907,0.00058,0.0017,1.0084,,0.80449,0.7167,0.5968,0.4237,0.1879,7.4
17,256,0,0.3945,9730,-0.00192,0.47905,0.7202,0.00075,0.0051,1.0086,,0.82351,0.7051,0.5968,0.4186,0.1898,7.7
