iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.4570,8742,-0.00206,0.56502,0.6872,0.00145,0.0026,1.0002,,0.66624,0.7687,0.7658,0.5000,0.3761,7.6
2,256,0,0.3730,9383,-0.00186,0.54349,0.6808,0.00026,0.0003,1.0008,,0.66925,0.7641,0.7625,0.4949,0.3224,7.7
3,256,0,0.3867,8934,-0.00174,0.49932,0.6664,0.00047,0.0075,1.0022,,0.67103,0.7657,0.7606,0.4898,0.2547,7.4
4,256,0,0.3320,9269,0.00160,0.50167,0.6697,0.00042,0.0045,1.0024,,0.66572,0.7646,0.7580,0.4847,0.2230,7.6
5,256,0,0.3047,9226,0.00766,0.48415,0.6600,-0.00004,0.0021,1.0033,,0.65835,0.7711,0.7606,0.4797,0.1727,7.5
6,256,0,0.2617,9433,0.00056,0.46986,0.6537,0.00005,0.0013,1.0046,,0.66431,0.7683,0.7586,0.4746,0.1367,7.6
7,256,0,0.3320,9181,-0.00033,0.45551,0.6351,0.00085,0.0026,1.0037,,0.64851,0.7707,0.7547,0.4695,0.1148,7.5
8,256,0,0.3008,9141,-0.00135,0.47666,0.6390,0.00049,0.0002,1.0044,,0.66429,0.7697,0.7586,0.4644,0.0885,7.4
9,256,0,0.3242,9397,-0.00299,0.48927,0.6470,0.00032,0.0010,1.0041,,0.64287,0.7792,0.7606,0.4593,0.0953,7.6
10,256,0,0.3047,9080,-0.00003,0.48984,0.6572,0.00015,0.0002,1.0041,0.5027,0.63582,0.7781,0.7625,0.4542,0.1158,14.9
11,256,0,0.2891,9325,0.00550,0.48277,0.6297,0.00046,0.0015,1.0043,,0.65837,0.7685,0.7586,0.4492,0.1394,7.4
12,256,0,0.2812,9300,-0.00483,0.47330,0.6326,0.00052,0.0011,1.0054,,0.64835,0.7716,0.7593,0.4441,0.1276,7.5
13,256,0,0.2891,9076,-0.00039,0.46406,0.6289,0.00075,0.0017,1.0055,,0.64775,0.7700,0.7625,0.4390,0.1209,7.3
14,256,0,0.3047,9187,-0.00101,0.47898,0.6471,0.00017,0.0014,1.0052,,0.63575,0.7750,0.7580,0.4339,0.1265,7.4
15,256,0,0.3008,9095,-0.00078,0.48835,0.6590,0.00047,0.0001,1.0055,,0.63960,0.7762,0.7619,0.4288,0.1019,7.4
16,256,0,0.2812,9424,-0.00107,0.47931,0.6449,0.00049,0.0070,1.0050,,0.63696,0.7735,0.7599,0.4237,0.0867,7.4
17,256,0,0.2969,9394,-0.00007,0.47368,0.6388,0.00031,0.0001,1.0059,,0.63213,0.7839,0.7586,0.4186,0.0686,7.8
18,256,0,0.2852,9158,-0.00098,0.46220,0.6331,0.00026,0.0003,1.0065,,0.64114,0.7747,0.7651,0.4136,0.0829,7.4
19,256,0,0.2422,8894,-0.00237,0.42776,0.6207,0.00107,0.0063,1.0062,,0.64849,0.7733,0.7619,0.4085,0.0811,7.4
20,256,0,0.3320,9264,0.00858,0.46822,0.6368,0.00070,0.0055,1.0078,0.5149,0.63155,0.7852,0.7638,0.4034,0.1255,15.7
21,256,0,0.3086,9325,0.00298,0.45689,0.6282,0.00138,0.0060,1.0089,,0.62973,0.7844,0.7677,0.3983,0.1279,7.5
22,256,0,0.3281,9155,-0.00075,0.50138,0.6386,0.00007,0.0007,1.0088,,0.62762,0.7806,0.7651,0.3932,0.1324,7.5
23,256,0,0.3398,9279,0.00246,0.48243,0.6291,0.00099,0.0051,1.0076,,0.63924,0.7760,0.7690,0.3881,0.1377,7.7
24,256,0,0.3047,9268,0.00102,0.46673,0.6244,0.00028,0.0036,1.0085,,0.63432,0.7715,0.7632,0.3831,0.1317,7.4
25,256,0,0.2891,9339,-0.00012,0.45800,0.6330,0.00082,0.0035,1.0084,,0.63631,0.7701,0.7599,0.3780,0.1228,7.8
26,256,0,0.2930,9081,-0.00135,0.45452,0.6238,0.00058,0.0002,1.0080,,0.62617,0.7755,0.7619,0.3729,0.1036,7.5
27,256,0,0.3008,9405,-0.00452,0.45389,0.6039,0.00128,0.0054,1.0077,,0.61138,0.7823,0.7619,0.3678,0.1163,7.7
28,256,0,0.3008,9043,-0.00210,0.43272,0.6042,0.00065,0.0076,1.0084,,0.64472,0.7725,0.7599,0.3627,0.0968,7.2
29,256,0,0.2930,9148,-0.00152,0.45031,0.6126,0.00042,0.0002,1.0081,,0.63459,0.7722,0.7593,0.3576,0.1096,7.6
30,256,0,0.3359,8852,-0.00093,0.47190,0.6119,0.00055,0.0023,1.0078,0.4185,0.63056,0.7713,0.7573,0.3525,0.1131,14.9
31,256,0,0.3125,9219,-0.05072,0.45502,0.6194,0.00062,0.0013,1.0094,,0.61811,0.7807,0.7586,0.3475,0.1212,7.6
32,256,0,0.3281,9012,-0.00105,0.44579,0.6126,0.00008,0.0003,1.0092,,0.62282,0.7758,0.7567,0.3424,0.1088,7.3
33,256,0,0.2969,8862,-0.00341,0.44544,0.5986,0.00117,0.0103,1.0098,,0.62592,0.7783,0.7573,0.3373,0.1235,7.3
34,256,0,0.3320,9400,-0.00277,0.44089,0.5997,0.00029,0.0058,1.0100,,0.60866,0.7829,0.7599,0.3322,0.0940,7.7
35,256,0,0.3555,8942,-0.00128,0.49239,0.6152,0.00063,0.0042,1.0099,,0.63795,0.7716,0.7599,0.3271,0.0858,7.4
36,256,0,0.3125,9007,-0.00091,0.48873,0.6043,0.00038,0.0008,1.0099,,0.62049,0.7767,0.7586,0.3220,0.0880,7.4
37,256,0,0.2715,9274,0.00266,0.48229,0.6134,0.00059,0.0044,1.0109,,0.63971,0.7738,0.7619,0.3169,0.0931,7.7
38,256,0,0.3750,9199,-0.00046,0.48181,0.6063,0.00074,0.0018,1.0106,,0.61942,0.7836,0.7651,0.3119,0.1463,7.5
39,256,0,0.3359,9496,0.00079,0.49040,0.6056,0.00039,0.0009,1.0113,,0.60846,0.7847,0.7612,0.3068,0.1409,7.8
40,256,0,0.2461,8890,0.00008,0.47375,0.5828,0.00030,0.0004,1.0117,0.5530,0.61511,0.7852,0.7606,0.3017,0.1361,15.7
41,256,0,0.3340,9256,-0.00938,0.49281,0.6016,0.00049,0.0038,1.0108,,0.62578,0.7770,0.7638,0.2966,0.1316,7.4
42,256,0,0.2930,9047,-0.00164,0.47509,0.6069,0.00029,0.0058,1.0116,,0.60172,0.7884,0.7625,0.2915,0.1182,7.5
43,256,0,0.3398,8989,-0.00078,0.48281,0.6209,0.00036,0.0012,1.0108,,0.61959,0.7830,0.7593,0.2864,0.1428,7.4
44,256,0,0.2891,9067,-0.00160,0.46700,0.6179,0.00117,0.0039,1.0107,,0.62673,0.7738,0.7586,0.2814,0.1249,7.4
45,256,0,0.3984,9498,-0.00003,0.49238,0.6072,0.00054,0.0028,1.0113,,0.58832,0.7945,0.7625,0.2763,0.1475,7.6
46,256,0,0.3008,9063,-0.00063,0.48392,0.5973,0.00059,0.0018,1.0103,,0.60819,0.7932,0.7638,0.2712,0.1305,7.3
47,256,0,0.3867,8989,-0.00052,0.49156,0.5938,0.00003,0.0003,1.0104,,0.61200,0.7881,0.7645,0.2661,0.1256,7.4
48,256,0,0.3125,9333,-0.00637,0.48364,0.6013,0.00333,0.0175,1.0120,,0.62153,0.7788,0.7619,0.2610,0.1279,7.8
49,256,0,0.3594,9288,-0.00187,0.50386,0.5927,0.00044,0.0024,1.0116,,0.60484,0.7899,0.7560,0.2559,0.1441,7.7
50,256,0,0.3672,9091,-0.00091,0.50870,0.5949,0.00058,0.0023,1.0125,0.5095,0.60726,0.7869,0.7599,0.2508,0.1448,14.7
51,256,0,0.3555,9148,-0.00118,0.48104,0.6035,0.00083,0.0029,1.0122,,0.60824,0.7858,0.7593,0.2458,0.1503,7.4
52,256,0,0.3359,9261,-0.00054,0.46735,0.5899,0.00043,0.0114,1.0130,,0.59770,0.7845,0.7606,0.2407,0.1192,7.6
53,256,0,0.3242,8714,-0.00038,0.45304,0.6002,0.00138,0.0041,1.0123,,0.60531,0.7873,0.7638,0.2356,0.1234,7.4
54,256,0,0.2461,9129,-0.00123,0.44768,0.5945,0.00040,0.0011,1.0125,,0.60931,0.7878,0.7658,0.2305,0.1257,7.5
55,256,0,0.2930,9430,-0.00389,0.44971,0.5886,0.00100,0.0035,1.0140,,0.61464,0.7903,0.7593,0.2254,0.0998,7.8
56,256,0,0.3496,9033,-0.00091,0.47769,0.6177,0.00124,0.0077,1.0140,,0.60706,0.7885,0.7671,0.2203,0.1198,7.5
57,256,0,0.2930,9194,-0.00128,0.45265,0.5887,0.00091,0.0015,1.0147,,0.61623,0.7855,0.7619,0.2153,0.1422,7.4
58,256,0,0.2773,8938,-0.00088,0.44734,0.5944,0.00024,0.0004,1.0148,,0.60511,0.7897,0.7612,0.2102,0.1337,7.4
59,256,0,0.3398,9255,0.01187,0.47900,0.5774,0.00000,0.0049,1.0149,,0.60342,0.7855,0.7638,0.2051,0.1390,7.6
60,256,0,0.3438,9234,-0.01609,0.47547,0.5937,0.00218,0.0199,1.0158,0.5584,0.60182,0.7896,0.7638,0.2000,0.1440,15.0
