iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.4609,10997,-0.00366,0.62186,0.9807,0.00292,0.0129,0.9998,,0.84336,0.7085,0.6448,0.3000,0.4029,9.2
2,256,0,0.5156,11112,-0.00242,0.61925,0.9578,0.00089,0.0056,1.0012,,0.83114,0.7059,0.6379,0.2958,0.3513,8.9
3,256,0,0.4766,11646,-0.00369,0.59482,0.9953,0.00161,0.0135,1.0023,,0.83568,0.7091,0.6299,0.2915,0.3534,9.3
4,256,0,0.4648,11419,-0.00488,0.58797,0.9578,0.00246,0.0166,1.0010,,0.84125,0.7035,0.6402,0.2873,0.3289,9.2
5,256,0,0.4102,11506,-0.00481,0.58321,0.9571,0.00222,0.0176,1.0008,,0.83608,0.7070,0.6379,0.2831,0.3177,9.6
6,256,0,0.4414,11706,-0.00439,0.58994,0.9825,0.00218,0.0198,1.0007,,0.82738,0.7147,0.6356,0.2788,0.2980,9.4
7,256,0,0.4102,11315,-0.01224,0.57193,0.9712,0.00244,0.0157,1.0019,,0.82104,0.7192,0.6448,0.2746,0.3028,8.9
8,256,0,0.4492,11558,-0.00517,0.55569,0.9660,0.00117,0.0098,1.0016,,0.82556,0.7125,0.6460,0.2703,0.2997,9.3
9,256,0,0.4609,11953,-0.00156,0.55449,0.9607,0.00191,0.0129,1.0010,,0.82233,0.7145,0.6414,0.2661,0.3180,9.5
10,256,0,0.5215,11916,-0.00314,0.57672,0.9659,0.00090,0.0137,1.0011,0.7250,0.82331,0.7169,0.6402,0.2619,0.3426,13.1
11,256,0,0.4727,11993,-0.00303,0.56671,0.9673,0.00218,0.0143,1.0010,,0.83419,0.7119,0.6391,0.2576,0.3510,9.6
12,256,0,0.4375,12171,-0.00253,0.59153,0.9502,0.00086,0.0065,1.0005,,0.83548,0.7094,0.6425,0.2534,0.3247,9.7
13,256,0,0.3945,11856,-0.00331,0.57535,0.9484,0.00250,0.0156,1.0020,,0.83768,0.7126,0.6276,0.2492,0.3035,9.5
14,256,0,0.4102,12082,-0.00267,0.58854,0.9658,0.00112,0.0094,1.0003,,0.84048,0.7097,0.6356,0.2449,0.2996,9.5
15,256,0,0.4180,12140,-0.00263,0.56298,0.9691,0.00082,0.0140,0.9996,,0.82854,0.7151,0.6379,0.2407,0.3060,9.6
16,256,0,0.4648,11902,-0.00340,0.57213,0.9771,0.00163,0.0164,0.9984,,0.83999,0.7125,0.6402,0.2364,0.3199,9.4
17,256,0,0.4336,11420,-0.00265,0.55975,0.9425,0.00184,0.0137,0.9993,,0.84375,0.7087,0.6356,0.2322,0.3101,9.0
18,256,0,0.4258,11818,-0.00227,0.57327,0.9439,0.00211,0.0124,0.9992,,0.83419,0.7129,0.6345,0.2280,0.2979,9.6
19,256,0,0.4180,12443,-0.00347,0.56916,0.9443,0.00208,0.0162,0.9992,,0.83367,0.7131,0.6310,0.2237,0.3101,9.8
20,256,0,0.4844,12237,-0.00298,0.56555,0.9476,0.00210,0.0134,0.9991,0.6500,0.83984,0.7117,0.6333,0.2195,0.3359,13.2
21,256,0,0.4414,11926,-0.00441,0.57795,0.9295,0.00326,0.0245,0.9980,,0.83309,0.7154,0.6241,0.2153,0.3294,9.4
22,256,0,0.4219,11754,-0.00425,0.56713,0.9362,0.00174,0.0106,0.9981,,0.83143,0.7135,0.6287,0.2110,0.3306,9.3
23,256,0,0.4180,11996,-0.00242,0.54565,0.9321,0.00121,0.0090,0.9978,,0.83578,0.7069,0.6241,0.2068,0.3051,9.3
24,256,0,0.5000,11849,-0.00383,0.55631,0.9684,0.00169,0.0207,0.9980,,0.84403,0.7078,0.6276,0.2025,0.3173,9.4
25,256,0,0.5000,11910,-0.00417,0.57574,0.9367,0.00225,0.0165,0.9986,,0.84240,0.7102,0.6264,0.1983,0.3383,9.4
26,256,0,0.4531,12921,-0.00299,0.58457,0.9152,0.00141,0.0108,0.9999,,0.83784,0.7092,0.6241,0.1941,0.3618,10.2
27,256,0,0.5508,11537,-0.00314,0.59188,0.9239,0.00118,0.0143,1.0005,,0.83550,0.7104,0.6276,0.1898,0.4015,9.1
28,256,0,0.5039,12058,-0.00328,0.58688,0.9198,0.00225,0.0142,0.9990,,0.84323,0.7087,0.6264,0.1856,0.3946,9.4
29,256,0,0.4766,12053,-0.00286,0.58795,0.8948,0.00171,0.0133,0.9992,,0.82702,0.7073,0.6356,0.1814,0.3998,9.5
30,256,0,0.4648,12068,-0.00381,0.57100,0.8891,0.00246,0.0155,0.9986,0.6250,0.82642,0.7072,0.6356,0.1771,0.4012,13.2
31,256,0,0.4570,11184,-0.00342,0.54332,0.9129,0.00248,0.0181,1.0000,,0.84639,0.7069,0.6402,0.1729,0.3902,9.0
32,256,0,0.4727,11028,-0.00379,0.57181,0.9080,0.00117,0.0111,1.0011,,0.82957,0.7164,0.6425,0.1686,0.3846,8.8
33,256,0,0.4961,12150,-0.00378,0.56811,0.9096,0.00286,0.0158,1.0002,,0.83913,0.7092,0.6471,0.1644,0.3944,9.6
34,256,0,0.5117,11258,-0.00316,0.58098,0.8775,0.00064,0.0130,1.0003,,0.84713,0.7057,0.6402,0.1602,0.4146,8.9
35,256,0,0.4727,11265,0.00920,0.58153,0.8996,0.00653,0.0195,1.0014,,0.83236,0.7106,0.6345,0.1559,0.3902,7.8
36,256,0,0.4570,11643,-0.00307,0.58064,0.9256,0.00232,0.0262,1.0017,,0.84493,0.7104,0.6379,0.1517,0.3657,9.3
37,256,0,0.5156,12338,-0.00714,0.57714,0.9179,0.00171,0.0100,1.0006,,0.83888,0.7121,0.6345,0.1475,0.3884,9.7
38,256,0,0.5156,11623,-0.00449,0.57768,0.9054,0.00193,0.0242,1.0015,,0.82126,0.7165,0.6345,0.1432,0.3880,9.1
39,256,0,0.5156,12035,-0.00377,0.59195,0.9190,0.00216,0.0167,1.0020,,0.84999,0.7057,0.6322,0.1390,0.3922,9.8
40,256,0,0.4766,12327,-0.00236,0.58817,0.9091,0.00138,0.0199,1.0002,0.7000,0.85665,0.7009,0.6368,0.1347,0.3963,13.1
41,256,0,0.4805,11789,-0.00268,0.56224,0.8994,0.00215,0.0194,1.0001,,0.82743,0.7098,0.6391,0.1305,0.3974,9.4
42,256,0,0.5195,11816,-0.00305,0.58615,0.9197,0.00103,0.0168,1.0006,,0.83338,0.7148,0.6345,0.1263,0.4098,9.3
43,256,0,0.5117,11853,-0.00382,0.57168,0.9063,0.00202,0.0193,1.0010,,0.84982,0.7083,0.6333,0.1220,0.4002,9.3
44,256,0,0.5234,11082,-0.00366,0.56225,0.8990,0.00167,0.0123,1.0003,,0.82845,0.7102,0.6333,0.1178,0.3966,8.9
45,256,0,0.4570,12285,-0.00311,0.56767,0.9028,0.00184,0.0216,0.9997,,0.84445,0.7108,0.6402,0.1136,0.4024,9.5
46,256,0,0.5312,12174,-0.00350,0.57061,0.9260,0.00224,0.0212,1.0021,,0.84156,0.7122,0.6414,0.1093,0.4180,9.8
47,256,0,0.4844,11547,-0.00274,0.56179,0.9194,0.00197,0.0149,1.0039,,0.83370,0.7137,0.6402,0.1051,0.3926,9.2
48,256,0,0.4883,11883,-0.00148,0.57682,0.9200,0.00262,0.0111,1.0041,,0.85249,0.7097,0.6391,0.1008,0.3748,9.6
49,256,0,0.4492,12221,-0.00394,0.56866,0.9219,0.00141,0.0198,1.0050,,0.85157,0.7129,0.6322,0.0966,0.3549,9.6
50,256,0,0.5195,12716,-0.00304,0.57873,0.9202,0.00206,0.0107,1.0042,0.7000,0.83976,0.7117,0.6322,0.0924,0.3898,13.6
51,256,0,0.5117,12378,-0.00688,0.56778,0.8812,0.00308,0.0245,1.0047,,0.83283,0.7152,0.6333,0.0881,0.4166,9.7
52,256,0,0.4570,11323,-0.00601,0.56122,0.8773,0.00282,0.0225,1.0050,,0.84685,0.7110,0.6356,0.0839,0.3863,9.3
