iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.3672,11391,-0.00171,0.60670,0.8953,0.00097,0.0035,0.9987,,0.91179,0.6671,0.6379,0.3000,0.4324,8.8
2,256,0,0.4102,11763,-0.00034,0.59795,0.9021,0.00054,0.0002,0.9959,,0.92207,0.6628,0.6379,0.2958,0.4050,8.8
3,256,0,0.4297,11631,0.00046,0.59353,0.9124,0.00084,0.0026,0.9947,,0.92094,0.6565,0.6337,0.2915,0.4113,8.7
4,256,0,0.3906,11560,-0.00247,0.57576,0.9068,0.00033,0.0002,0.9962,,0.90880,0.6646,0.6420,0.2873,0.3822,8.8
5,256,0,0.3984,11386,0.00144,0.55757,0.8771,0.00056,0.0001,0.9951,,0.92133,0.6564,0.6337,0.2831,0.3676,8.6
6,256,0,0.4648,11648,-0.00282,0.57916,0.9086,0.00011,0.0015,0.9955,,0.89345,0.6677,0.6337,0.2788,0.3607,8.8
7,256,0,0.4531,11506,-0.00233,0.58054,0.8912,0.00127,0.0017,0.9968,,0.91766,0.6548,0.6337,0.2746,0.3902,8.4
8,256,0,0.4375,11530,0.00058,0.59494,0.9054,0.00072,0.0020,0.9965,,0.91356,0.6630,0.6296,0.2703,0.3922,8.4
9,256,0,0.4219,11591,-0.00174,0.58334,0.8845,0.00132,0.0030,0.9935,,0.90273,0.6642,0.6337,0.2661,0.3848,8.9
10,256,0,0.4297,11289,0.00268,0.57468,0.8818,0.00079,0.0048,0.9954,0.6250,0.90497,0.6684,0.6379,0.2619,0.3814,11.6
11,256,0,0.4336,11907,-0.00205,0.59082,0.9131,0.00143,0.0056,0.9964,,0.89726,0.6705,0.6296,0.2576,0.3839,8.9
12,256,0,0.4531,11141,-0.00182,0.57158,0.8851,0.00075,0.0061,0.9958,,0.91935,0.6555,0.6420,0.2534,0.4084,8.4
13,256,0,0.4453,11515,-0.00051,0.57613,0.8774,0.00066,0.0064,0.9950,,0.90333,0.6645,0.6296,0.2492,0.4044,8.6
14,256,0,0.4648,11604,-0.00006,0.57795,0.9003,0.00035,0.0003,0.9940,,0.89903,0.6584,0.6337,0.2449,0.3851,8.6
15,256,0,0.4727,11816,-0.00089,0.56882,0.8588,0.00155,0.0028,0.9939,,0.90016,0.6597,0.6420,0.2407,0.3803,8.8
16,256,0,0.4922,11786,-0.00101,0.58293,0.8554,0.00049,0.0001,0.9942,,0.90162,0.6658,0.6337,0.2364,0.3689,8.7
17,256,0,0.5000,11555,-0.00216,0.56963,0.8748,0.00055,0.0006,0.9947,,0.89244,0.6729,0.6337,0.2322,0.3558,8.8
18,256,0,0.4414,12114,-0.00135,0.58421,0.8815,0.00040,0.0024,0.9941,,0.90638,0.6623,0.6255,0.2280,0.3763,9.0
19,256,0,0.4395,12023,-0.00094,0.55976,0.8817,0.00030,0.0000,0.9942,,0.90393,0.6624,0.6214,0.2237,0.3658,8.9
20,256,0,0.5039,11614,-0.00062,0.57616,0.8776,0.00037,0.0023,0.9946,0.6750,0.88038,0.6694,0.6337,0.2195,0.4010,12.1
21,256,0,0.4609,11571,-0.00236,0.56054,0.8819,0.00072,0.0030,0.9931,,0.89066,0.6667,0.6255,0.2153,0.3906,8.6
22,256,0,0.4766,11796,-0.00237,0.56017,0.8606,-0.00021,0.0010,0.9953,,0.89029,0.6720,0.6296,0.2110,0.3868,8.7
23,256,0,0.4727,11289,0.00120,0.57096,0.8539,0.00073,0.0041,0.9960,,0.89242,0.6705,0.6296,0.2068,0.4227,8.5
24,256,0,0.4883,11518,-0.00124,0.58228,0.8683,0.00060,0.0027,0.9953,,0.91942,0.6619,0.6255,0.2025,0.4365,8.8
25,256,0,0.5234,11451,-0.00441,0.55072,0.8642,0.00060,0.0042,0.9952,,0.90427,0.6619,0.6255,0.1983,0.4505,8.6
26,256,0,0.4531,11604,0.00286,0.55512,0.8696,0.00132,0.0035,0.9958,,0.90570,0.6593,0.6173,0.1941,0.4210,8.6
27,256,0,0.5078,11583,-0.00093,0.56987,0.8460,0.00066,0.0008,0.9957,,0.88939,0.6665,0.6337,0.1898,0.4189,8.7
28,256,0,0.4922,11879,-0.00195,0.58239,0.8821,0.00090,0.0041,0.9951,,0.88944,0.6671,0.6214,0.1856,0.4355,8.8
29,256,0,0.4531,11380,-0.00539,0.58901,0.8957,0.00086,0.0046,0.9924,,0.88610,0.6724,0.6379,0.1814,0.4570,8.7
30,256,0,0.4180,11370,0.00433,0.58961,0.8895,0.00015,0.0010,0.9897,0.5250,0.89056,0.6670,0.6379,0.1771,0.4381,11.7
31,256,0,0.4297,11217,-0.00193,0.56840,0.8680,0.00008,0.0026,0.9886,,0.89413,0.6689,0.6420,0.1729,0.3952,8.4
32,256,0,0.4688,11700,-0.00056,0.56818,0.8795,0.00072,0.0030,0.9899,,0.88811,0.6615,0.6461,0.1686,0.4186,8.8
33,256,0,0.5195,11334,-0.00073,0.56858,0.8821,-0.00016,0.0009,0.9905,,0.88716,0.6663,0.6502,0.1644,0.4130,8.7
34,256,0,0.4844,11454,-0.00102,0.56053,0.8518,0.00004,0.0003,0.9908,,0.87049,0.6796,0.6461,0.1602,0.4469,8.8
35,256,0,0.5820,11766,-0.00194,0.57837,0.8953,0.00069,0.0018,0.9904,,0.88686,0.6709,0.6379,0.1559,0.4740,8.9
36,256,0,0.4492,11829,-0.00080,0.55902,0.8634,0.00055,0.0019,0.9909,,0.91149,0.6603,0.6337,0.1517,0.4548,8.8
37,256,0,0.5312,11523,0.00137,0.55661,0.8633,0.00107,0.0055,0.9938,,0.88603,0.6659,0.6173,0.1475,0.4493,8.7
38,256,0,0.5039,11609,-0.00119,0.56513,0.8369,0.00067,0.0071,0.9956,,0.90225,0.6650,0.6379,0.1432,0.4572,8.6
