iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.3477,8538,-0.00534,0.55915,0.8324,0.00179,0.0285,1.0013,,0.87075,0.6474,0.6286,0.3000,0.3920,8.1
2,256,0,0.2910,8940,-0.00194,0.52183,0.8176,0.00108,0.0060,1.0015,,0.87996,0.6459,0.6281,0.2958,0.3217,8.1
3,256,0,0.2656,9267,-0.00748,0.49249,0.8098,0.00167,0.0074,1.0034,,0.86237,0.6509,0.6272,0.2915,0.2710,8.2
4,256,0,0.3047,9494,0.00052,0.47977,0.8040,0.00189,0.0083,1.0017,,0.85985,0.6555,0.6248,0.2873,0.2248,8.1
5,256,0,0.3320,9178,-0.00204,0.47396,0.7958,0.00086,0.0062,1.0008,,0.85440,0.6573,0.6257,0.2831,0.2203,8.0
6,256,0,0.2891,9131,-0.00220,0.46799,0.8080,0.00086,0.0081,1.0016,,0.86972,0.6500,0.6229,0.2788,0.1976,8.1
7,256,0,0.2695,9095,-0.00189,0.42839,0.8029,0.00043,0.0083,1.0005,,0.85215,0.6572,0.6231,0.2746,0.1848,7.8
8,256,0,0.2891,9360,-0.00596,0.46522,0.7861,0.00194,0.0059,1.0018,,0.86174,0.6504,0.6186,0.2703,0.1960,8.3
9,256,0,0.2539,9116,-0.00146,0.44093,0.7765,0.00209,0.0028,1.0030,,0.87231,0.6506,0.6208,0.2661,0.1795,8.2
10,256,0,0.2734,8944,-0.00098,0.45367,0.7838,0.00064,0.0013,1.0049,0.4750,0.86462,0.6465,0.6220,0.2619,0.2016,11.3
11,256,0,0.3242,9050,-0.00150,0.45592,0.7920,0.00200,0.0101,1.0049,,0.87651,0.6504,0.6234,0.2576,0.1801,8.0
12,256,0,0.3125,9231,-0.01404,0.46195,0.8048,0.00235,0.0185,1.0058,,0.85849,0.6518,0.6203,0.2534,0.1737,8.4
13,256,0,0.2891,9230,-0.00195,0.47765,0.8060,0.00260,0.0152,1.0063,,0.84935,0.6593,0.6229,0.2492,0.1831,8.1
14,256,0,0.3438,8564,-0.00581,0.45373,0.7773,0.00320,0.0152,1.0076,,0.86665,0.6523,0.6212,0.2449,0.1632,7.6
15,256,0,0.3125,8995,-0.00138,0.45653,0.8065,0.00139,0.0040,1.0070,,0.85546,0.6585,0.6201,0.2407,0.1780,8.1
16,256,0,0.3008,9016,-0.00083,0.44289,0.7834,0.00038,0.0040,1.0056,,0.85629,0.6552,0.6188,0.2364,0.1777,7.9
17,256,0,0.3105,8840,-0.00179,0.44359,0.8005,0.00087,0.0003,1.0056,,0.85324,0.6585,0.6191,0.2322,0.1776,7.8
18,256,0,0.3184,9407,-0.00227,0.47244,0.7914,0.00025,0.0083,1.0047,,0.85656,0.6600,0.6205,0.2280,0.1955,8.2
19,256,0,0.2969,9095,-0.00140,0.45607,0.7734,0.00099,0.0072,1.0064,,0.85871,0.6587,0.6174,0.2237,0.1875,8.0
20,256,0,0.3184,9042,-0.00084,0.47051,0.8057,0.00075,0.0029,1.0076,0.4750,0.86153,0.6555,0.6208,0.2195,0.1798,11.4
21,256,0,0.3203,9342,-0.00129,0.45332,0.7821,0.00014,0.0021,1.0061,,0.84807,0.6565,0.6198,0.2153,0.1777,8.2
22,256,0,0.3516,9102,-0.00216,0.45495,0.7896,0.00123,0.0019,1.0077,,0.87199,0.6527,0.6189,0.2110,0.1837,7.9
23,256,0,0.3789,9278,-0.00114,0.44493,0.7564,0.00142,0.0122,1.0080,,0.86236,0.6522,0.6200,0.2068,0.1938,8.1
24,256,0,0.2852,9145,-0.00131,0.45960,0.7547,0.00092,0.0026,1.0071,,0.86279,0.6530,0.6195,0.2025,0.1771,8.1
