iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.3672,10541,-0.00367,0.58280,0.9083,0.00162,0.0070,1.0007,,0.75442,0.7320,0.6235,0.3000,0.4160,8.9
2,256,0,0.3047,10052,-0.00243,0.54913,0.8732,0.00137,0.0042,1.0018,,0.76470,0.7302,0.6157,0.2958,0.3524,8.3
3,256,0,0.3516,10074,-0.00294,0.52807,0.8529,0.00234,0.0122,1.0025,,0.76205,0.7260,0.6157,0.2915,0.3419,8.2
4,256,0,0.3477,9984,-0.00186,0.51868,0.8766,0.00146,0.0065,1.0024,,0.77157,0.7273,0.6118,0.2873,0.3194,8.2
5,256,0,0.3242,9950,-0.00238,0.48526,0.8671,0.00050,0.0048,1.0026,,0.76734,0.7300,0.6059,0.2831,0.3071,8.1
6,256,0,0.3320,10234,-0.00324,0.49491,0.8323,0.00272,0.0154,1.0047,,0.74726,0.7390,0.5902,0.2788,0.2950,8.2
7,256,0,0.4258,10311,0.00101,0.51909,0.8549,0.00097,0.0054,1.0042,,0.75861,0.7310,0.5902,0.2746,0.2876,8.5
8,256,0,0.3750,10158,-0.00233,0.51632,0.8166,0.00226,0.0093,1.0045,,0.75382,0.7328,0.6000,0.2703,0.3197,8.2
9,256,0,0.3750,9945,-0.00118,0.52227,0.8255,0.00202,0.0079,1.0032,,0.77753,0.7225,0.6098,0.2661,0.3003,8.2
10,256,0,0.3359,10309,-0.00657,0.51539,0.8276,0.00173,0.0079,1.0023,0.4500,0.75814,0.7306,0.6118,0.2619,0.2736,12.0
11,256,0,0.3516,10048,-0.00177,0.49448,0.8038,0.00090,0.0037,1.0024,,0.76553,0.7262,0.6098,0.2576,0.2987,8.3
12,256,0,0.3242,9918,-0.00243,0.50780,0.8173,0.00090,0.0056,1.0024,,0.76937,0.7249,0.6098,0.2534,0.2838,8.1
13,256,0,0.3711,10334,0.00053,0.50697,0.8304,0.00144,0.0055,1.0015,,0.76991,0.7267,0.6137,0.2492,0.2951,8.5
14,256,0,0.3281,10334,-0.00152,0.49322,0.8251,0.00161,0.0089,1.0025,,0.76119,0.7277,0.6137,0.2449,0.2786,8.7
15,256,0,0.3594,9999,-0.00144,0.49295,0.8407,0.00161,0.0120,1.0036,,0.75558,0.7310,0.6118,0.2407,0.2881,8.7
16,256,0,0.3633,10171,-0.00214,0.48051,0.8188,0.00014,0.0023,1.0030,,0.77228,0.7288,0.6039,0.2364,0.2880,8.3
