iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.6211,9380,-0.00705,0.59672,0.9765,0.00288,0.0278,1.0017,,0.71888,0.7480,0.6733,0.3000,0.4447,7.8
2,256,0,0.5781,9071,-0.00318,0.58596,0.9283,0.00095,0.0110,1.0018,,0.71591,0.7507,0.6715,0.2958,0.4118,7.3
3,256,0,0.4766,9175,-0.00271,0.58096,0.9378,0.00146,0.0123,1.0018,,0.72280,0.7456,0.6703,0.2915,0.3579,7.3
4,256,0,0.4258,9415,-0.00912,0.57887,0.9108,0.00077,0.0126,1.0030,,0.72203,0.7488,0.6703,0.2873,0.3489,7.6
5,256,0,0.3984,8857,-0.00315,0.57444,0.8915,0.00162,0.0098,1.0027,,0.71063,0.7553,0.6674,0.2831,0.3350,7.2
6,256,0,0.4297,9045,-0.00296,0.57775,0.9234,0.00126,0.0082,1.0034,,0.69478,0.7568,0.6681,0.2788,0.3331,7.5
7,256,0,0.4023,9082,-0.00326,0.54988,0.9052,0.00152,0.0105,1.0034,,0.69917,0.7628,0.6682,0.2746,0.3145,7.4
8,256,0,0.4297,8698,-0.00309,0.56209,0.8824,0.00111,0.0063,1.0043,,0.72905,0.7436,0.6674,0.2703,0.3337,7.1
9,256,0,0.4102,9106,-0.00269,0.56733,0.8820,0.00144,0.0097,1.0041,,0.71966,0.7488,0.6684,0.2661,0.3298,7.4
10,256,0,0.5039,9279,-0.00642,0.56217,0.9135,0.00128,0.0257,1.0031,0.7572,0.72179,0.7473,0.6625,0.2619,0.3395,13.8
11,256,0,0.4375,9281,0.00121,0.58376,0.9225,0.00049,0.0244,1.0011,,0.69583,0.7589,0.6634,0.2576,0.3314,7.4
12,256,0,0.4336,8950,-0.00401,0.55391,0.9126,0.00316,0.0265,1.0025,,0.71778,0.7515,0.6643,0.2534,0.3289,7.5
13,256,0,0.4570,9062,-0.00312,0.55825,0.9019,0.00126,0.0086,1.0042,,0.71417,0.7515,0.6641,0.2492,0.3602,7.3
