iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.5957,8825,-0.00482,0.57724,0.9208,0.00158,0.0131,1.0025,,0.83114,0.6963,0.5250,0.3000,0.4674,7.8
2,256,0,0.5898,8863,-0.00202,0.54959,0.9095,0.00164,0.0059,1.0031,,0.82692,0.6898,0.5257,0.2958,0.4319,7.6
3,256,0,0.5703,8786,-0.00270,0.53917,0.8889,0.00164,0.0064,1.0030,,0.81941,0.6980,0.5295,0.2915,0.4067,7.4
4,256,0,0.5371,8853,-0.00124,0.53321,0.9151,0.00078,0.0040,1.0019,,0.82723,0.6926,0.5321,0.2873,0.3787,7.6
5,256,0,0.5703,8837,-0.00403,0.53271,0.8948,0.00248,0.0165,1.0016,,0.83461,0.6884,0.5221,0.2831,0.3528,7.5
6,256,0,0.5781,8401,-0.00221,0.53337,0.8833,0.00168,0.0236,1.0015,,0.83388,0.6893,0.5248,0.2788,0.3701,7.4
7,256,0,0.5195,8751,-0.00377,0.54104,0.8641,0.00228,0.0109,1.0032,,0.84389,0.6847,0.5259,0.2746,0.3967,7.7
8,256,0,0.5078,8741,-0.00279,0.54221,0.8758,0.00059,0.0021,1.0052,,0.81420,0.6928,0.5304,0.2703,0.3728,7.6
9,256,0,0.5586,8804,-0.00274,0.55808,0.8678,0.00109,0.0052,1.0056,,0.83877,0.6896,0.5280,0.2661,0.3992,7.8
10,256,0,0.5117,8885,-0.00262,0.53299,0.8701,0.00129,0.0124,1.0059,0.6853,0.82552,0.6931,0.5263,0.2619,0.4019,14.3
11,256,0,0.5586,9003,-0.00151,0.55028,0.8654,0.00080,0.0030,1.0062,,0.81491,0.7023,0.5261,0.2576,0.4255,7.5
12,256,0,0.5703,8824,-0.00131,0.55592,0.8599,0.00182,0.0124,1.0071,,0.80301,0.7012,0.5270,0.2534,0.4399,7.6
13,256,0,0.5723,8864,-0.00275,0.53859,0.8743,0.00250,0.0080,1.0077,,0.82854,0.6892,0.5312,0.2492,0.4361,7.5
14,256,0,0.4961,8564,-0.00311,0.53793,0.8931,0.00124,0.0106,1.0076,,0.82427,0.6899,0.5336,0.2449,0.4136,7.6
15,256,0,0.5586,8631,-0.00134,0.52099,0.9029,0.00165,0.0114,1.0080,,0.81656,0.6962,0.5348,0.2407,0.3799,7.5
16,256,0,0.5605,8699,-0.00187,0.50383,0.8772,0.00180,0.0075,1.0089,,0.82370,0.6955,0.5299,0.2364,0.3967,7.7
17,256,0,0.5000,8418,-0.00382,0.53565,0.8809,0.00189,0.0104,1.0098,,0.82606,0.6944,0.5314,0.2322,0.3898,7.4
18,256,0,0.5195,8556,-0.00090,0.52868,0.8814,0.00188,0.0180,1.0096,,0.83318,0.6887,0.5289,0.2280,0.3777,7.5
19,256,0,0.5078,8534,-0.00498,0.51360,0.8681,0.00221,0.0116,1.0090,,0.81911,0.6913,0.5280,0.2237,0.3561,7.5
20,256,0,0.5781,8693,-0.00158,0.52453,0.8807,0.00172,0.0090,1.0095,0.6695,0.83224,0.6902,0.5301,0.2195,0.3595,14.4
21,256,0,0.5703,8392,-0.00022,0.52239,0.8655,0.00062,0.0055,1.0106,,0.81262,0.6955,0.5301,0.2153,0.3666,7.3
22,256,0,0.5195,8797,-0.00344,0.53252,0.8603,0.00204,0.0141,1.0116,,0.82035,0.6944,0.5331,0.2110,0.3716,7.8
23,256,0,0.5469,8858,-0.00375,0.50818,0.8492,0.00225,0.0098,1.0118,,0.84316,0.6826,0.5280,0.2068,0.3726,7.6
24,256,0,0.4922,8922,-0.00356,0.52920,0.8692,0.00191,0.0109,1.0115,,0.82574,0.6909,0.5314,0.2025,0.3737,7.9
25,256,0,0.5469,8956,-0.00244,0.52046,0.8709,0.00163,0.0162,1.0109,,0.81404,0.7042,0.5291,0.1983,0.3959,7.7
26,256,0,0.5703,8996,-0.00205,0.54421,0.8626,0.00213,0.0089,1.0104,,0.82433,0.6909,0.5302,0.1941,0.4057,7.6
27,256,0,0.5195,8867,-0.00196,0.49217,0.8537,0.00070,0.0088,1.0119,,0.81826,0.6930,0.5319,0.1898,0.3931,7.5
28,256,0,0.5664,8849,-0.00296,0.51255,0.8536,0.00103,0.0031,1.0125,,0.82061,0.6900,0.5318,0.1856,0.3861,7.6
29,256,0,0.5859,8819,-0.00298,0.51592,0.8521,0.00164,0.0118,1.0115,,0.82980,0.6913,0.5344,0.1814,0.4053,7.7
30,256,0,0.5977,8860,-0.00199,0.51988,0.8506,0.00214,0.0159,1.0107,0.6595,0.83262,0.6823,0.5282,0.1771,0.4260,14.0
31,256,0,0.5078,9064,-0.00230,0.50301,0.8400,0.00127,0.0131,1.0103,,0.82530,0.6950,0.5308,0.1729,0.3992,7.8
