iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.4688,8989,-0.00424,0.56224,0.8786,0.00176,0.0135,0.9996,,0.76783,0.7249,0.6512,0.3000,0.3722,7.1
2,256,0,0.3594,9431,-0.00120,0.52469,0.8457,0.00076,0.0049,1.0000,,0.78253,0.7211,0.6540,0.2958,0.2816,7.2
3,256,0,0.3398,8814,-0.00418,0.49122,0.8235,0.00108,0.0128,1.0002,,0.76928,0.7270,0.6456,0.2915,0.2421,6.8
4,256,0,0.2773,9302,-0.00560,0.46019,0.8013,0.00004,0.0036,1.0009,,0.78111,0.7196,0.6473,0.2873,0.1912,7.0
5,256,0,0.1875,9177,-0.00209,0.41625,0.7909,0.00087,0.0059,1.0010,,0.77450,0.7259,0.6512,0.2831,0.1472,6.8
6,256,0,0.2695,9396,-0.00165,0.41476,0.7752,0.00216,0.0099,1.0007,,0.76909,0.7228,0.6523,0.2788,0.1102,7.1
7,256,0,0.2227,9221,0.00924,0.37899,0.7959,0.00344,0.0406,0.9981,,0.78043,0.7205,0.6490,0.2746,0.1056,7.0
8,256,0,0.2109,9427,-0.00536,0.38130,0.8178,0.00147,0.0168,0.9990,,0.78754,0.7166,0.6507,0.2703,0.1131,7.1
9,256,0,0.2344,9111,-0.00199,0.38082,0.7907,0.00144,0.0075,1.0002,,0.77154,0.7224,0.6507,0.2661,0.1143,6.8
10,256,0,0.2852,9109,-0.00256,0.43128,0.8121,0.00043,0.0107,1.0000,0.6739,0.77633,0.7219,0.6501,0.2619,0.1162,12.7
11,256,0,0.2344,8960,-0.00178,0.40599,0.7894,0.00079,0.0021,0.9998,,0.77751,0.7197,0.6490,0.2576,0.1123,6.7
12,256,0,0.2227,8809,-0.00282,0.38209,0.7907,0.00135,0.0030,1.0005,,0.77295,0.7222,0.6546,0.2534,0.1033,6.8
13,256,0,0.2188,9193,-0.00163,0.37771,0.7693,0.00056,0.0022,1.0011,,0.78026,0.7214,0.6535,0.2492,0.0901,6.9
14,256,0,0.2812,9031,-0.00150,0.39951,0.7866,0.00084,0.0055,1.0006,,0.77861,0.7186,0.6557,0.2449,0.0892,6.7
15,256,0,0.2227,9467,-0.00344,0.37829,0.7842,0.00109,0.0048,1.0000,,0.78015,0.7243,0.6507,0.2407,0.1036,7.1
16,256,0,0.2617,9170,-0.00203,0.39276,0.7899,0.00089,0.0154,0.9993,,0.78498,0.7115,0.6512,0.2364,0.0937,7.0
17,256,0,0.2031,9541,-0.00652,0.39178,0.7923,0.00143,0.0059,0.9998,,0.77016,0.7284,0.6484,0.2322,0.0827,7.0
18,256,0,0.2031,9372,0.00027,0.36239,0.7625,0.00012,0.0006,1.0011,,0.77405,0.7219,0.6490,0.2280,0.0843,6.9
19,256,0,0.2383,9409,0.00305,0.38514,0.7598,0.00134,0.0082,1.0024,,0.78274,0.7166,0.6473,0.2237,0.0938,7.0
20,256,0,0.2383,9303,0.00220,0.39700,0.7502,0.00072,0.0035,1.0026,0.6724,0.77551,0.7220,0.6478,0.2195,0.1021,13.3
21,256,0,0.2812,9580,-0.00131,0.40252,0.7554,0.00112,0.0073,1.0029,,0.77684,0.7221,0.6484,0.2153,0.1029,7.0
22,256,0,0.2148,9715,-0.00255,0.39499,0.7430,0.00091,0.0101,1.0026,,0.76057,0.7263,0.6490,0.2110,0.1092,7.4
23,256,0,0.2695,9437,-0.00125,0.39057,0.7658,0.00026,0.0030,1.0028,,0.77315,0.7247,0.6490,0.2068,0.1000,7.2
24,256,0,0.2773,9647,-0.00045,0.39797,0.7633,0.00087,0.0096,1.0019,,0.77989,0.7221,0.6484,0.2025,0.1021,7.0
25,256,0,0.2305,9516,-0.00023,0.35941,0.7447,0.00057,0.0067,1.0028,,0.77260,0.7276,0.6450,0.1983,0.0891,7.0
26,256,0,0.1680,9505,-0.00228,0.29854,0.7328,-0.00007,0.0017,1.0025,,0.78180,0.7219,0.6450,0.1941,0.0751,7.1
27,256,0,0.2539,9648,-0.00444,0.37157,0.7635,0.00079,0.0027,1.0027,,0.77638,0.7220,0.6461,0.1898,0.0887,6.9
28,256,0,0.2695,9535,-0.00220,0.36529,0.7558,0.00080,0.0042,1.0023,,0.77298,0.7214,0.6456,0.1856,0.0938,6.9
29,256,0,0.2383,9372,-0.00179,0.36165,0.7421,0.00043,0.0050,1.0024,,0.76570,0.7266,0.6416,0.1814,0.1011,6.8
30,256,0,0.2031,9504,-0.00360,0.35570,0.7401,0.00110,0.0052,1.0018,0.6897,0.78023,0.7276,0.6461,0.1771,0.0888,12.8
31,256,0,0.2734,9786,-0.00283,0.40541,0.7767,0.00118,0.0072,1.0018,,0.75650,0.7294,0.6450,0.1729,0.0932,7.1
32,256,0,0.2578,9520,-0.00384,0.40200,0.7770,0.00115,0.0023,1.0040,,0.75785,0.7339,0.6450,0.1686,0.1007,7.1
33,256,0,0.2578,9432,-0.00081,0.37656,0.7459,0.00125,0.0091,1.0053,,0.78241,0.7216,0.6467,0.1644,0.0935,7.0
34,256,0,0.1680,9537,-0.00111,0.32531,0.7611,0.00134,0.0083,1.0044,,0.78009,0.7228,0.6461,0.1602,0.0780,7.1
35,256,0,0.2422,9615,-0.00286,0.37106,0.7435,0.00139,0.0036,1.0046,,0.77487,0.7224,0.6473,0.1559,0.0950,7.1
36,256,0,0.2344,9609,-0.00347,0.37603,0.7443,0.00064,0.0047,1.0038,,0.76707,0.7293,0.6484,0.1517,0.0925,7.0
37,256,0,0.2305,9374,0.00121,0.36117,0.7484,0.00083,0.0082,1.0031,,0.77396,0.7296,0.6422,0.1475,0.0914,7.0
38,256,0,0.2344,9869,-0.00082,0.37162,0.7594,0.00166,0.0061,1.0035,,0.76940,0.7331,0.6456,0.1432,0.0949,7.2
39,256,0,0.2812,9740,-0.00298,0.40559,0.7735,0.00151,0.0054,1.0049,,0.77300,0.7299,0.6484,0.1390,0.0989,7.1
40,256,0,0.2344,9840,-0.00032,0.39381,0.7535,0.00042,0.0054,1.0055,0.7471,0.80004,0.7157,0.6484,0.1347,0.1154,13.6
41,256,0,0.2227,9642,-0.00511,0.34959,0.7668,0.00064,0.0075,1.0045,,0.77344,0.7249,0.6450,0.1305,0.0980,7.1
42,256,0,0.2070,9630,-0.00372,0.32921,0.7582,0.00027,0.0053,1.0045,,0.77151,0.7271,0.6433,0.1263,0.0974,7.3
43,256,0,0.1758,9507,-0.00207,0.31573,0.7489,0.00056,0.0027,1.0041,,0.75943,0.7302,0.6456,0.1220,0.0840,7.2
44,256,0,0.2422,9553,-0.00309,0.34174,0.7528,0.00079,0.0134,1.0033,,0.76593,0.7288,0.6461,0.1178,0.0856,7.0
45,256,0,0.3008,9259,-0.01793,0.38460,0.7406,0.00095,0.0040,1.0037,,0.74591,0.7378,0.6461,0.1136,0.1074,6.8
46,256,0,0.2617,9551,-0.00301,0.36709,0.7546,0.00144,0.0099,1.0038,,0.78351,0.7174,0.6456,0.1093,0.0992,6.8
47,256,0,0.2188,9353,-0.00723,0.38074,0.7267,0.00094,0.0078,1.0041,,0.75132,0.7311,0.6427,0.1051,0.1157,6.9
48,256,0,0.1680,9522,-0.00230,0.33375,0.7265,0.00133,0.0034,1.0048,,0.76550,0.7261,0.6467,0.1008,0.0907,6.9
49,256,0,0.2578,9445,-0.00710,0.34765,0.7106,0.00122,0.0175,1.0054,,0.77899,0.7191,0.6405,0.0966,0.0904,6.8
50,256,0,0.2266,9624,-0.00171,0.37153,0.7113,0.00057,0.0040,1.0058,0.6638,0.79080,0.7117,0.6410,0.0924,0.0983,13.1
51,256,0,0.2188,9622,-0.00153,0.35296,0.7354,0.00133,0.0091,1.0048,,0.77896,0.7212,0.6371,0.0881,0.0841,6.9
52,256,0,0.2227,9836,-0.00262,0.34458,0.7247,0.00088,0.0060,1.0046,,0.78523,0.7185,0.6360,0.0839,0.0893,7.0
53,256,0,0.2461,9687,-0.00174,0.39099,0.7512,0.00158,0.0149,1.0044,,0.77663,0.7236,0.6399,0.0797,0.0833,7.1
54,256,0,0.2461,9771,-0.00343,0.39138,0.7305,0.00125,0.0092,1.0049,,0.76893,0.7252,0.6416,0.0754,0.1001,7.2
55,256,0,0.2539,9575,-0.00347,0.38441,0.7286,0.00143,0.0084,1.0041,,0.77724,0.7220,0.6371,0.0712,0.1112,7.3
56,256,0,0.2695,9645,-0.00111,0.39931,0.7166,0.00060,0.0067,1.0039,,0.79199,0.7178,0.6393,0.0669,0.1084,7.1
57,256,0,0.2617,9904,-0.00198,0.40503,0.7035,-0.00006,0.0076,1.0037,,0.78640,0.7132,0.6393,0.0627,0.1226,7.2
58,256,0,0.2539,9740,-0.00315,0.37591,0.7014,0.00099,0.0106,1.0042,,0.78616,0.7108,0.6371,0.0585,0.1063,7.2
