iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.5625,9267,-0.00651,0.60139,0.9739,0.00537,0.0703,0.9979,,0.72310,0.7503,0.6739,0.3000,0.4289,7.7
2,256,0,0.5781,9225,-0.02796,0.60230,0.9469,0.00607,0.0381,0.9982,,0.69372,0.7531,0.6715,0.2987,0.4128,5.6
3,256,0,0.5156,9360,-0.00951,0.59074,0.9385,0.00305,0.0499,0.9980,,0.73408,0.7427,0.6746,0.2975,0.3979,7.4
4,256,0,0.4492,9112,-0.00444,0.58841,0.9278,0.00256,0.0444,0.9996,,0.71577,0.7490,0.6715,0.2962,0.3675,7.4
5,256,0,0.4961,9221,0.01345,0.58503,0.9295,0.00644,0.0598,1.0048,,0.72668,0.7492,0.6671,0.2950,0.3431,6.4
6,256,0,0.5117,9387,0.00177,0.58602,0.9246,0.00404,0.0492,1.0062,,0.72796,0.7470,0.6678,0.2937,0.3782,7.4
7,256,0,0.4453,9349,-0.00123,0.58222,0.9166,0.00370,0.0445,1.0062,,0.70585,0.7542,0.6644,0.2925,0.3484,7.6
8,256,0,0.5039,9585,-0.00547,0.58646,0.9097,0.00346,0.0414,1.0065,,0.69833,0.7589,0.6644,0.2912,0.3524,7.6
9,256,0,0.4414,9376,-0.00108,0.56754,0.9334,0.00259,0.0341,1.0079,,0.74199,0.7393,0.6585,0.2899,0.3542,7.6
10,256,0,0.4570,9174,-0.00555,0.55951,0.9258,0.00314,0.0368,1.0089,0.7443,0.71646,0.7521,0.6653,0.2887,0.3221,13.8
11,256,0,0.4570,9213,-0.00473,0.55719,0.9215,0.00349,0.0430,1.0096,,0.72924,0.7427,0.6638,0.2874,0.3029,7.4
12,256,0,0.4453,9331,-0.00868,0.55769,0.8856,0.00533,0.0611,1.0108,,0.69194,0.7600,0.6637,0.2862,0.3388,7.4
13,256,0,0.4805,9854,-0.00325,0.56297,0.8964,0.00352,0.0427,1.0085,,0.73008,0.7461,0.6596,0.2849,0.3196,7.7
14,256,0,0.4219,9691,-0.00437,0.55273,0.8807,0.00341,0.0389,1.0096,,0.69243,0.7639,0.6709,0.2837,0.3203,7.8
15,256,0,0.4766,8889,-0.00483,0.56954,0.8915,0.00240,0.0325,1.0091,,0.70601,0.7567,0.6649,0.2824,0.3341,7.3
16,256,0,0.4844,9104,-0.00474,0.57176,0.9034,0.00272,0.0275,1.0089,,0.71346,0.7501,0.6677,0.2812,0.3331,7.5
17,256,0,0.4844,9338,-0.00060,0.57416,0.8982,0.00387,0.0458,1.0072,,0.70380,0.7554,0.6671,0.2799,0.3432,7.8
18,256,0,0.4922,8765,-0.00355,0.56127,0.8914,0.00459,0.0451,1.0075,,0.70390,0.7560,0.6688,0.2786,0.3468,7.2
19,256,0,0.5039,8989,-0.00368,0.54716,0.9044,0.00407,0.0317,1.0056,,0.70132,0.7513,0.6671,0.2774,0.3524,7.4
20,256,0,0.5039,9262,-0.01409,0.57109,0.8957,0.00654,0.0886,1.0060,0.7069,0.71119,0.7527,0.6608,0.2761,0.3436,13.5
21,256,0,0.5117,9057,-0.00457,0.56885,0.9151,0.00397,0.0460,1.0049,,0.72575,0.7483,0.6634,0.2749,0.3559,7.3
22,256,0,0.4883,8861,-0.00545,0.58394,0.8980,0.00238,0.0323,1.0033,,0.70179,0.7559,0.6673,0.2736,0.3713,7.3
23,256,0,0.4375,9247,-0.00720,0.54537,0.8863,0.00622,0.0725,1.0029,,0.69831,0.7585,0.6648,0.2724,0.3407,7.1
24,256,0,0.5156,9262,0.00045,0.56291,0.8792,0.00367,0.0657,1.0029,,0.71211,0.7506,0.6649,0.2711,0.3291,7.5
25,256,0,0.4492,9391,-0.00369,0.54464,0.9035,0.00439,0.0563,1.0034,,0.71433,0.7515,0.6649,0.2698,0.3236,7.6
26,256,0,0.5312,9069,-0.00480,0.55528,0.9200,0.00287,0.0385,1.0025,,0.71321,0.7488,0.6673,0.2686,0.3073,7.3
27,256,0,0.4883,8960,-0.00506,0.54992,0.9121,0.00269,0.0330,1.0023,,0.71937,0.7512,0.6670,0.2673,0.3359,7.1
28,256,0,0.5273,9272,-0.00430,0.56404,0.9135,0.00519,0.0708,1.0031,,0.69075,0.7607,0.6656,0.2661,0.3289,7.7
29,256,0,0.4375,9141,-0.00439,0.56619,0.8881,0.00278,0.0405,1.0029,,0.72207,0.7478,0.6653,0.2648,0.3462,7.6
30,256,0,0.5273,9408,0.00174,0.55788,0.8872,0.00351,0.0399,1.0033,0.6078,0.71261,0.7530,0.6622,0.2636,0.3281,13.6
31,256,0,0.5195,9073,-0.00347,0.56036,0.8795,0.00422,0.0512,1.0045,,0.70598,0.7589,0.6636,0.2623,0.3604,7.3
32,256,0,0.4805,8994,-0.00499,0.55299,0.8791,0.00333,0.0318,1.0050,,0.70575,0.7530,0.6659,0.2611,0.3553,7.4
33,256,0,0.5938,9128,-0.00464,0.58123,0.9211,0.00242,0.0348,1.0044,,0.70626,0.7499,0.6681,0.2598,0.4136,7.4
34,256,0,0.5332,9667,-0.00682,0.56716,0.8768,0.00401,0.0452,1.0043,,0.69775,0.7558,0.6722,0.2585,0.3899,7.5
35,256,0,0.4844,9621,-0.00559,0.57221,0.9000,0.00271,0.0364,1.0047,,0.71905,0.7506,0.6738,0.2573,0.3594,7.7
36,256,0,0.4883,9265,-0.00685,0.54565,0.8968,0.00578,0.0603,1.0044,,0.70377,0.7554,0.6689,0.2560,0.3398,7.5
37,256,0,0.4805,9632,-0.00562,0.55866,0.8934,0.00447,0.0568,1.0036,,0.70826,0.7494,0.6674,0.2548,0.3410,7.9
38,256,0,0.4570,9333,-0.00293,0.54684,0.8718,0.00440,0.0486,1.0030,,0.69267,0.7588,0.6653,0.2535,0.3251,7.5
39,256,0,0.4883,9178,-0.00503,0.54349,0.8926,0.00345,0.0489,1.0043,,0.71527,0.7510,0.6674,0.2523,0.3291,7.2
40,256,0,0.4766,9298,0.00312,0.55663,0.8734,0.00457,0.0527,1.0032,0.6882,0.70335,0.7541,0.6659,0.2510,0.3180,13.4
41,256,0,0.4062,9326,-0.01196,0.55074,0.8511,0.00484,0.0579,1.0026,,0.69482,0.7610,0.6649,0.2497,0.3135,7.4
42,256,0,0.4805,9131,-0.00424,0.55257,0.8774,0.00421,0.0414,1.0030,,0.70026,0.7561,0.6628,0.2485,0.3046,7.3
43,256,0,0.5312,9028,-0.00549,0.54567,0.8455,0.00321,0.0340,1.0044,,0.69177,0.7580,0.6659,0.2472,0.3132,7.3
44,256,0,0.5312,9097,-0.00516,0.53894,0.8798,0.00291,0.0388,1.0046,,0.71503,0.7477,0.6664,0.2460,0.3256,7.5
45,256,0,0.5117,9180,-0.00519,0.54680,0.8859,0.00450,0.0454,1.0055,,0.70371,0.7520,0.6655,0.2447,0.3479,7.4
46,256,0,0.5547,9007,-0.00473,0.55206,0.8912,0.00221,0.0275,1.0055,,0.70534,0.7529,0.6636,0.2435,0.3543,7.3
47,256,0,0.5039,8704,-0.00710,0.53755,0.8927,0.00325,0.0411,1.0043,,0.68564,0.7606,0.6621,0.2422,0.3365,7.4
48,256,0,0.5078,9564,-0.00523,0.55508,0.9027,0.00352,0.0553,1.0044,,0.68903,0.7646,0.6629,0.2410,0.3465,7.8
49,256,0,0.5352,9495,-0.00419,0.57220,0.9144,0.00501,0.0446,1.0046,,0.70744,0.7539,0.6637,0.2397,0.3643,7.8
50,256,0,0.4922,9300,-0.01169,0.54771,0.9079,0.00510,0.0604,1.0024,0.6078,0.68794,0.7632,0.6655,0.2384,0.3550,13.7
51,256,0,0.4805,9414,0.00036,0.54806,0.9136,0.00496,0.0575,1.0016,,0.69716,0.7597,0.6658,0.2372,0.3511,7.7
52,256,0,0.4688,9201,-0.00463,0.54719,0.8932,0.00314,0.0395,1.0016,,0.68958,0.7633,0.6678,0.2359,0.3371,7.3
53,256,0,0.5586,9432,-0.00363,0.56569,0.9191,0.00457,0.0527,1.0007,,0.70599,0.7586,0.6660,0.2347,0.3520,7.5
54,256,0,0.5156,8898,-0.00501,0.55660,0.9119,0.00459,0.0473,0.9988,,0.71931,0.7550,0.6647,0.2334,0.3793,7.2
55,256,0,0.5156,9061,-0.00534,0.55660,0.9038,0.00403,0.0389,0.9983,,0.70381,0.7577,0.6611,0.2322,0.4007,7.3
56,256,0,0.4961,9458,-0.00564,0.57403,0.9177,0.00357,0.0485,0.9965,,0.71198,0.7533,0.6625,0.2309,0.4018,7.5
57,256,0,0.5000,9812,-0.00379,0.55343,0.9308,0.00288,0.0391,0.9957,,0.70240,0.7589,0.6550,0.2296,0.3380,7.7
58,256,0,0.5078,9325,-0.00815,0.54786,0.9253,0.00540,0.0505,0.9944,,0.70880,0.7561,0.6589,0.2284,0.3402,7.5
59,256,0,0.5039,9005,-0.00462,0.54867,0.9190,0.00416,0.0399,0.9939,,0.70019,0.7564,0.6584,0.2271,0.3292,7.4
60,256,0,0.4844,9021,-0.00553,0.54037,0.9255,0.00322,0.0479,0.9927,0.7083,0.71439,0.7560,0.6581,0.2259,0.3293,13.1
61,256,0,0.4492,9544,-0.00303,0.55270,0.8959,0.00566,0.0571,0.9934,,0.69940,0.7551,0.6577,0.2246,0.3263,7.8
62,256,0,0.4922,9016,-0.00619,0.56179,0.9072,0.00511,0.0623,0.9932,,0.71102,0.7574,0.6525,0.2234,0.3409,7.3
