iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.3438,6779,-0.00143,0.57685,1.2103,0.00139,0.0021,1.0096,,,,,,0.3500,5.4
2,256,0,0.3047,6506,-0.00557,0.56837,1.1477,0.00152,0.0203,1.0086,,,,,,0.2659,5.2
3,256,0,0.3867,6959,-0.00330,0.53653,1.1426,0.00175,0.0217,1.0033,,,,,,0.2066,5.3
4,256,0,0.3477,6792,-0.00081,0.55099,1.1261,0.00149,0.0026,1.0010,,,,,,0.1623,5.3
5,256,0,0.3672,6859,-0.00363,0.52181,1.1029,0.00189,0.0274,0.9986,,,,,,0.1446,5.4
6,256,0,0.4180,6713,-0.00313,0.53091,1.1413,0.00060,0.0117,1.0000,,,,,,0.1295,5.1
7,256,0,0.3633,7014,-0.00387,0.51269,1.0721,0.00329,0.0304,1.0050,,,,,,0.1110,5.6
8,256,0,0.3984,6920,-0.00439,0.51964,1.0408,0.00258,0.0258,1.0083,,,,,,0.1449,5.5
9,256,0,0.4414,7039,-0.00165,0.51134,1.0547,0.00057,0.0083,1.0049,,,,,,0.1565,5.4
10,256,0,0.4219,7487,-0.00774,0.53267,1.0221,0.00468,0.0271,1.0040,0.7859,,,,,0.1919,11.0
11,256,0,0.4414,7218,0.01270,0.51699,1.0244,0.00196,0.0121,1.0010,,,,,,0.1786,5.5
12,256,0,0.4727,7114,-0.00181,0.51539,1.0351,0.00079,0.0060,0.9992,,,,,,0.1614,5.5
13,256,0,0.4688,7224,-0.00640,0.49432,1.0011,0.00220,0.0313,1.0036,,,,,,0.1636,5.6
14,256,0,0.3672,7070,-0.00138,0.50901,0.9850,0.00112,0.0023,1.0075,,,,,,0.1553,5.6
15,256,0,0.4805,6994,-0.00273,0.50739,0.9214,0.00102,0.0199,1.0086,,,,,,0.1878,5.7
16,256,0,0.4336,7013,-0.00270,0.50824,0.9156,0.00142,0.0106,1.0103,,,,,,0.2048,5.5
17,256,0,0.4883,7429,-0.00192,0.47711,0.9185,0.00104,0.0028,1.0118,,,,,,0.2034,5.7
18,256,0,0.4023,6993,-0.00225,0.48560,0.8957,0.00101,0.0067,1.0140,,,,,,0.1843,5.6
19,256,0,0.4375,6853,-0.00392,0.47858,0.8861,0.00168,0.0131,1.0146,,,,,,0.2014,5.4
20,256,0,0.4375,7287,-0.00327,0.49019,0.9091,0.00002,0.0095,1.0126,0.7284,,,,,0.1926,11.2
21,256,0,0.4219,7212,0.00123,0.46529,0.8613,0.00290,0.0367,1.0114,,,,,,0.1807,5.7
22,256,0,0.4531,7272,0.00283,0.48100,0.8655,0.00247,0.0160,1.0149,,,,,,0.1702,5.7
23,256,0,0.5000,7461,-0.00126,0.45746,0.8515,0.00236,0.0182,1.0158,,,,,,0.1996,5.7
24,256,0,0.4336,7064,-0.00251,0.45724,0.7959,0.00239,0.0284,1.0207,,,,,,0.1803,5.5
25,256,0,0.4531,7277,-0.00835,0.44968,0.7923,0.00217,0.0190,1.0208,,,,,,0.1943,5.5
26,256,0,0.3984,7236,-0.00339,0.48761,0.7810,0.00004,0.0192,1.0211,,,,,,0.1997,5.7
27,256,0,0.4961,7492,-0.00329,0.46562,0.7561,0.00095,0.0105,1.0215,,,,,,0.2148,5.7
28,256,0,0.4805,7651,-0.00360,0.47230,0.7661,0.00082,0.0118,1.0224,,,,,,0.2521,5.8
29,256,0,0.4688,7289,-0.00501,0.47101,0.7419,0.00068,0.0115,1.0222,,,,,,0.2507,5.8
30,256,0,0.4766,7143,-0.00139,0.46502,0.7628,0.00132,0.0085,1.0229,0.7011,,,,,0.2415,11.1
31,256,0,0.4023,7175,0.01955,0.49382,0.7655,0.00380,0.0324,1.0204,,,,,,0.2146,5.7
32,256,0,0.4492,7381,0.00161,0.45744,0.7535,0.00204,0.0219,1.0220,,,,,,0.2181,5.9
33,256,0,0.4609,7371,-0.00045,0.45364,0.7863,0.00128,0.0075,1.0203,,,,,,0.2444,5.7
34,256,0,0.4766,7524,-0.00132,0.44408,0.7837,0.00142,0.0052,1.0230,,,,,,0.2551,5.8
35,256,0,0.5000,7228,0.00526,0.43873,0.8123,0.00157,0.0281,1.0216,,,,,,0.2627,5.5
36,256,0,0.5000,7568,-0.00251,0.42719,0.8095,0.00162,0.0131,1.0190,,,,,,0.2603,5.7
37,256,0,0.4414,7021,-0.00138,0.46260,0.7665,0.00031,0.0047,1.0174,,,,,,0.2612,5.6
38,256,0,0.4648,7220,-0.00194,0.44203,0.7578,0.00298,0.0303,1.0167,,,,,,0.2618,5.7
39,256,0,0.4609,7296,-0.00074,0.44461,0.7546,0.00182,0.0381,1.0166,,,,,,0.2567,5.6
40,256,0,0.4492,7282,-0.01028,0.44569,0.7167,0.00174,0.0251,1.0171,0.7471,,,,,0.2627,11.1
41,256,0,0.5000,7465,-0.00572,0.44208,0.7162,0.00081,0.0175,1.0191,,,,,,0.2627,5.6
42,256,0,0.4883,7666,-0.00284,0.45515,0.6985,0.00291,0.0254,1.0185,,,,,,0.2776,5.8
43,256,0,0.4961,7543,-0.00285,0.43512,0.6969,0.00067,0.0119,1.0200,,,,,,0.2671,5.7
44,256,0,0.4492,7152,-0.00181,0.45824,0.6673,0.00111,0.0093,1.0209,,,,,,0.2481,5.5
45,256,0,0.4609,7068,-0.00241,0.46977,0.6557,0.00123,0.0178,1.0193,,,,,,0.2456,5.8
46,256,0,0.5000,7370,-0.00659,0.43489,0.6741,0.00228,0.0149,1.0170,,,,,,0.2646,5.7
47,256,0,0.4648,7220,-0.00334,0.44353,0.6628,-0.00071,0.0089,1.0202,,,,,,0.2544,5.5
48,256,0,0.4609,7381,-0.00235,0.45872,0.6582,0.00280,0.0179,1.0198,,,,,,0.2583,5.9
49,256,0,0.4922,7530,-0.00375,0.45203,0.6744,0.00109,0.0097,1.0199,,,,,,0.2703,5.8
50,256,0,0.4766,7173,-0.05132,0.45550,0.7355,0.00333,0.0267,1.0158,0.7155,,,,,0.2807,10.2
51,256,0,0.4844,7362,0.00196,0.47928,0.6763,0.00184,0.0297,1.0126,,,,,,0.2745,5.6
52,256,0,0.4609,7306,-0.00161,0.47285,0.6867,0.00159,0.0052,1.0138,,,,,,0.2705,5.7
53,256,0,0.5000,7462,-0.00415,0.44697,0.6755,0.00234,0.0186,1.0145,,,,,,0.2581,5.7
54,256,0,0.4961,7397,-0.01021,0.41793,0.6687,0.00184,0.0141,1.0134,,,,,,0.2676,5.7
55,256,0,0.4531,7276,0.00568,0.43146,0.6748,0.00124,0.0170,1.0130,,,,,,0.2500,5.7
56,256,0,0.4570,7584,-0.00257,0.46471,0.6755,0.00060,0.0088,1.0089,,,,,,0.2614,5.8
57,256,0,0.5469,7446,-0.00028,0.44589,0.6710,-0.00016,0.0054,1.0128,,,,,,0.2711,5.7
58,256,0,0.4727,7062,-0.00130,0.43487,0.6677,0.00030,0.0010,1.0118,,,,,,0.2682,5.5
59,256,0,0.5156,7442,0.00021,0.40474,0.6593,0.00220,0.0126,1.0149,,,,,,0.2775,5.9
60,256,0,0.4766,7254,0.00929,0.44579,0.6859,0.00017,0.0038,1.0131,0.7011,,,,,0.2723,11.2
61,256,0,0.4375,7246,-0.01122,0.44017,0.6839,0.00030,0.0202,1.0143,,,,,,0.2586,5.6
62,256,0,0.4648,6941,-0.00142,0.44659,0.6690,0.00055,0.0115,1.0129,,,,,,0.2635,5.6
63,256,0,0.5078,7390,-0.01000,0.39914,0.6845,0.00238,0.0178,1.0186,,,,,,0.2637,5.7
64,256,0,0.4570,7497,0.00130,0.45451,0.6996,0.00146,0.0141,1.0178,,,,,,0.2602,5.9
65,256,0,0.3867,7134,-0.00284,0.45683,0.6945,0.00150,0.0222,1.0181,,,,,,0.2445,5.6
66,256,0,0.4805,7307,-0.00892,0.46901,0.7065,0.00219,0.0111,1.0193,,,,,,0.2678,5.6
67,256,0,0.4219,7316,-0.00091,0.45553,0.6835,0.00201,0.0202,1.0206,,,,,,0.2599,5.7
68,256,0,0.4336,7417,-0.00229,0.44754,0.6960,0.00315,0.0150,1.0261,,,,,,0.2389,5.8
69,256,0,0.4688,7468,-0.00309,0.43301,0.7147,0.00226,0.0131,1.0256,,,,,,0.2521,5.6
70,256,0,0.4102,7215,-0.00452,0.46085,0.7219,0.00245,0.0119,1.0306,0.8147,,,,,0.2431,11.2
71,256,0,0.4922,7345,-0.00251,0.43042,0.6884,0.00022,0.0117,1.0316,,,,,,0.2506,5.5
72,256,0,0.4414,7260,0.00511,0.45111,0.6965,0.00057,0.0053,1.0313,,,,,,0.2497,5.6
73,256,0,0.5078,7403,-0.00046,0.42607,0.6989,0.00191,0.0120,1.0296,,,,,,0.2594,5.7
74,256,0,0.4375,6894,-0.00172,0.44470,0.6981,0.00293,0.0192,1.0256,,,,,,0.2661,5.5
75,256,0,0.5469,7368,-0.00435,0.43434,0.6631,0.00049,0.0045,1.0244,,,,,,0.2826,5.7
76,256,0,0.4336,7094,-0.00232,0.44046,0.6733,-0.00005,0.0165,1.0239,,,,,,0.2598,5.6
77,256,0,0.4648,7199,-0.01283,0.41240,0.6626,0.00288,0.0128,1.0209,,,,,,0.2728,5.7
78,256,0,0.4531,7260,0.00231,0.44590,0.6426,0.00112,0.0109,1.0238,,,,,,0.2509,5.7
79,256,0,0.4570,7661,-0.00214,0.45538,0.6358,0.00126,0.0193,1.0225,,,,,,0.2525,5.9
80,256,0,0.4961,7366,0.00146,0.44480,0.6300,0.00070,0.0072,1.0198,0.5891,,,,,0.2718,10.7
81,256,0,0.5039,7432,-0.00227,0.41281,0.6531,0.00144,0.0102,1.0198,,,,,,0.2640,5.7
82,256,0,0.5234,7466,-0.00677,0.44304,0.6378,0.00062,0.0155,1.0158,,,,,,0.2840,5.8
83,256,0,0.4844,7175,-0.04174,0.44809,0.6420,0.00128,0.0340,1.0091,,,,,,0.2955,5.7
84,256,0,0.4531,7296,-0.00344,0.44766,0.6406,0.00107,0.0124,1.0076,,,,,,0.2845,5.7
85,256,0,0.5508,7815,-0.00185,0.44027,0.6510,0.00093,0.0042,1.0093,,,,,,0.2867,5.8
86,256,0,0.4883,7464,-0.00301,0.43646,0.6561,0.00098,0.0197,1.0090,,,,,,0.3015,5.7
87,256,0,0.4727,7487,-0.00369,0.42569,0.6916,0.00088,0.0088,1.0111,,,,,,0.2968,5.7
88,256,0,0.4961,7317,-0.00206,0.40922,0.6760,0.00072,0.0053,1.0125,,,,,,0.2947,5.7
89,256,0,0.4688,7655,-0.00278,0.43134,0.6878,0.00043,0.0043,1.0140,,,,,,0.3026,5.9
90,256,0,0.4883,7304,0.00280,0.46426,0.6572,0.00121,0.0072,1.0115,0.7687,,,,,0.2876,10.8
91,256,0,0.4805,7494,-0.00129,0.44761,0.6605,0.00221,0.0213,1.0106,,,,,,0.2939,5.6
92,256,0,0.4570,7255,-0.00259,0.44278,0.6435,0.00081,0.0131,1.0089,,,,,,0.2754,5.5
93,256,0,0.5391,7652,-0.00185,0.44194,0.6608,0.00063,0.0107,1.0030,,,,,,0.3102,5.9
94,256,0,0.4766,7211,0.00351,0.42465,0.6501,0.00214,0.0161,1.0014,,,,,,0.2994,5.7
95,256,0,0.5078,7598,-0.00267,0.43525,0.6596,0.00184,0.0145,0.9998,,,,,,0.2867,5.8
96,256,0,0.4805,7340,-0.00053,0.42554,0.6438,0.00047,0.0039,0.9970,,,,,,0.2889,5.7
97,256,0,0.4961,7646,-0.00076,0.44646,0.6318,0.00012,0.0040,0.9952,,,,,,0.3058,5.8
98,256,0,0.5117,7394,-0.00621,0.44975,0.6234,0.00078,0.0148,0.9955,,,,,,0.3028,5.7
99,256,0,0.5312,7586,-0.00396,0.43047,0.6417,0.00087,0.0101,0.9948,,,,,,0.3111,5.9
100,256,0,0.5156,7422,-0.00691,0.42286,0.6214,0.00052,0.0153,0.9935,0.8793,,,,,0.2950,11.0
