iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.6914,9465,-0.00795,0.55425,1.2355,0.00535,0.0636,1.0005,,1.03737,0.6284,0.5548,0.3000,0.4625,7.8
2,256,0,0.6543,9444,-0.00423,0.50631,1.2005,0.00318,0.0425,1.0035,,1.05288,0.6195,0.5563,0.2987,0.4659,7.6
3,256,0,0.6445,9045,-0.00461,0.51486,1.2033,0.00450,0.0511,1.0037,,1.03620,0.6294,0.5568,0.2975,0.4690,7.3
4,256,0,0.6855,9245,-0.00885,0.49127,1.1960,0.00521,0.0842,1.0070,,1.04044,0.6230,0.5548,0.2962,0.5098,7.5
5,256,0,0.6797,9095,-0.00291,0.48509,1.1759,0.00342,0.0484,1.0063,,1.04074,0.6241,0.5563,0.2950,0.5157,7.4
6,256,0,0.6992,9140,-0.00541,0.48289,1.1582,0.00376,0.0385,1.0070,,1.03557,0.6294,0.5519,0.2937,0.5494,7.5
7,256,0,0.6758,9654,-0.00692,0.48649,1.1931,0.00503,0.0487,1.0084,,1.06477,0.6212,0.5504,0.2925,0.5512,7.8
8,256,0,0.6680,9043,-0.00561,0.47082,1.1721,0.00447,0.0370,1.0086,,1.03011,0.6288,0.5546,0.2912,0.5206,7.4
9,256,0,0.7031,9664,-0.00782,0.47415,1.1609,0.00184,0.0270,1.0094,,1.03610,0.6213,0.5590,0.2899,0.5564,7.8
10,256,0,0.7402,9476,-0.00637,0.45905,1.1570,0.00391,0.0534,1.0104,0.8678,1.03603,0.6267,0.5559,0.2887,0.5752,13.6
11,256,0,0.6797,9256,0.00700,0.44763,1.1850,0.00479,0.0660,1.0111,,1.04342,0.6213,0.5515,0.2874,0.5390,7.3
12,256,0,0.7148,9342,0.00365,0.44273,1.1350,0.00665,0.0575,1.0103,,1.04667,0.6176,0.5488,0.2862,0.5541,7.8
13,256,0,0.6797,10038,-0.00341,0.48031,1.1708,0.00377,0.0393,1.0102,,1.04941,0.6187,0.5488,0.2849,0.5559,8.1
14,256,0,0.7383,9563,-0.00743,0.45729,1.1516,0.00398,0.0528,1.0064,,1.03844,0.6221,0.5544,0.2837,0.5597,7.8
15,256,0,0.6719,9623,-0.00550,0.45056,1.1968,0.00408,0.0423,1.0067,,1.04184,0.6255,0.5530,0.2824,0.5579,7.7
16,256,0,0.7109,9259,-0.00814,0.46716,1.1705,0.00661,0.1015,1.0065,,1.02829,0.6297,0.5528,0.2812,0.5459,7.5
17,256,0,0.6875,9202,-0.00582,0.46165,1.1791,0.00664,0.0758,1.0074,,1.02784,0.6327,0.5552,0.2799,0.5543,7.4
18,256,0,0.7188,9412,-0.00852,0.45887,1.1945,0.00433,0.0597,1.0095,,1.02091,0.6312,0.5499,0.2786,0.5540,7.6
