iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.6035,8712,-0.00597,0.55337,0.9337,0.00362,0.0365,1.0032,,0.83246,0.6955,0.5217,0.3000,0.4605,7.4
2,256,0,0.6113,8961,-0.00493,0.52558,0.9198,0.00273,0.0253,1.0020,,0.82704,0.6931,0.5270,0.2987,0.4670,7.5
3,256,0,0.5820,8630,-0.00345,0.55386,0.8913,0.00293,0.0266,1.0040,,0.82023,0.6942,0.5231,0.2975,0.4504,7.3
4,256,0,0.6113,8846,-0.00517,0.52649,0.8933,0.00242,0.0242,1.0067,,0.82836,0.6877,0.5282,0.2962,0.4618,7.4
5,256,0,0.5703,8926,-0.00441,0.53687,0.8761,0.00192,0.0264,1.0065,,0.83957,0.6884,0.5310,0.2950,0.4550,7.5
6,256,0,0.5918,8674,-0.00393,0.53467,0.8709,0.00241,0.0222,1.0092,,0.83488,0.6884,0.5333,0.2937,0.4218,7.2
7,256,0,0.5898,9010,-0.00374,0.53966,0.8704,0.00305,0.0287,1.0061,,0.84086,0.6872,0.5318,0.2925,0.4276,7.7
8,256,0,0.6250,9103,-0.00465,0.50909,0.8851,0.00434,0.0338,1.0035,,0.81316,0.6916,0.5291,0.2912,0.4263,7.6
9,256,0,0.5625,8903,-0.00410,0.54607,0.8739,0.00374,0.0495,1.0060,,0.83363,0.6936,0.5284,0.2899,0.4257,7.5
10,256,0,0.5977,8779,-0.00540,0.51900,0.8855,0.00239,0.0330,1.0061,0.6408,0.82583,0.6904,0.5329,0.2887,0.4437,14.8
11,256,0,0.5625,8742,-0.00564,0.52513,0.8704,0.00312,0.0339,1.0090,,0.81369,0.7025,0.5244,0.2874,0.4474,7.2
12,256,0,0.6270,8732,-0.00491,0.51816,0.8355,0.00379,0.0315,1.0090,,0.79968,0.7000,0.5246,0.2862,0.4440,7.3
13,256,0,0.6602,8865,-0.00544,0.50443,0.8585,0.00333,0.0333,1.0118,,0.83077,0.6876,0.5250,0.2849,0.4240,7.8
14,256,0,0.5527,8919,-0.00618,0.51326,0.8553,0.00586,0.0351,1.0130,,0.82123,0.6948,0.5267,0.2837,0.3980,7.6
15,256,0,0.5742,8838,-0.00360,0.54065,0.8407,0.00342,0.0262,1.0126,,0.81019,0.7002,0.5200,0.2824,0.4225,7.8
16,256,0,0.5977,8722,-0.00320,0.53263,0.8534,0.00238,0.0255,1.0116,,0.81795,0.7021,0.5161,0.2812,0.4169,7.5
17,256,0,0.5820,8842,-0.00503,0.51217,0.8685,0.00294,0.0283,1.0099,,0.81786,0.6954,0.5267,0.2799,0.4110,7.6
18,256,0,0.6367,8896,-0.00366,0.49948,0.8557,0.00233,0.0330,1.0106,,0.82195,0.6935,0.5268,0.2786,0.4131,7.5
19,256,0,0.5859,8826,-0.00478,0.50526,0.8523,0.00168,0.0255,1.0115,,0.81028,0.6979,0.5231,0.2774,0.4046,7.5
20,256,0,0.5605,8858,-0.00412,0.51766,0.8495,0.00252,0.0255,1.0120,0.6724,0.82367,0.6900,0.5259,0.2761,0.4056,14.3
21,256,0,0.5664,8562,-0.00647,0.49386,0.8462,0.00303,0.0286,1.0145,,0.80292,0.7002,0.5270,0.2749,0.4064,7.2
22,256,0,0.5781,8834,-0.00596,0.52686,0.8628,0.00344,0.0412,1.0132,,0.80599,0.6993,0.5216,0.2736,0.4009,7.6
23,256,0,0.6055,8889,-0.00447,0.53904,0.8646,0.00312,0.0323,1.0147,,0.82598,0.6947,0.5272,0.2724,0.3777,7.6
