iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.4180,9036,-0.00481,0.57198,0.8999,0.00296,0.0309,0.9996,,0.76909,0.7267,0.6473,0.3000,0.3630,7.2
2,256,0,0.3867,9234,0.01594,0.54511,0.8509,0.00315,0.0314,0.9974,,0.78137,0.7206,0.6439,0.2987,0.2808,6.7
3,256,0,0.3867,9040,-0.00277,0.51438,0.8645,0.00426,0.0374,1.0021,,0.77527,0.7258,0.6388,0.2975,0.2024,7.0
4,256,0,0.2891,9246,-0.00116,0.47735,0.8476,0.00371,0.0466,1.0000,,0.77850,0.7258,0.6467,0.2962,0.1690,7.2
5,256,0,0.3242,9006,-0.00414,0.45159,0.8273,0.00255,0.0206,1.0022,,0.78028,0.7246,0.6461,0.2950,0.1619,7.0
6,256,0,0.3789,9284,-0.00129,0.49732,0.8242,0.00297,0.0230,1.0028,,0.76861,0.7260,0.6439,0.2937,0.1406,7.0
7,256,0,0.3281,9415,-0.00578,0.47868,0.8331,0.00250,0.0295,1.0034,,0.77245,0.7283,0.6467,0.2925,0.1464,7.4
8,256,0,0.2891,9277,-0.00771,0.46132,0.8300,0.00338,0.0375,1.0050,,0.79032,0.7191,0.6427,0.2912,0.1145,7.0
9,256,0,0.3477,9267,-0.00564,0.50271,0.8386,0.00222,0.0265,1.0070,,0.77371,0.7268,0.6444,0.2899,0.0922,7.1
10,256,0,0.3438,9591,-0.00645,0.50207,0.8307,0.00255,0.0275,1.0074,0.6695,0.76580,0.7303,0.6490,0.2887,0.1028,13.6
11,256,0,0.3047,9232,-0.01103,0.45805,0.8339,0.00163,0.0447,1.0077,,0.76817,0.7282,0.6507,0.2874,0.0777,6.9
12,256,0,0.3047,8992,-0.00273,0.46266,0.8239,0.00322,0.0271,1.0063,,0.77160,0.7236,0.6495,0.2862,0.0698,6.9
13,256,0,0.3438,9151,-0.00404,0.48623,0.8232,0.00262,0.0190,1.0078,,0.76816,0.7278,0.6427,0.2849,0.1102,6.8
14,256,0,0.3398,9027,-0.00279,0.47018,0.8254,0.00158,0.0122,1.0100,,0.76633,0.7286,0.6433,0.2837,0.1233,7.0
15,256,0,0.3594,9624,-0.00295,0.49146,0.8129,0.00184,0.0138,1.0110,,0.76461,0.7350,0.6450,0.2824,0.1209,7.3
16,256,0,0.2812,9114,-0.00303,0.44461,0.8175,0.00213,0.0234,1.0103,,0.76821,0.7283,0.6484,0.2812,0.0909,6.9
17,256,0,0.2969,9568,-0.00345,0.45038,0.8319,0.00363,0.0340,1.0104,,0.75667,0.7353,0.6422,0.2799,0.0786,7.3
18,256,0,0.3281,9263,-0.01033,0.46286,0.8155,0.00288,0.0374,1.0083,,0.75772,0.7337,0.6456,0.2786,0.0850,7.1
19,256,0,0.3789,8988,-0.00411,0.47765,0.8215,0.00296,0.0316,1.0081,,0.76783,0.7241,0.6456,0.2774,0.0920,7.0
