logged_at,ref,fileName,status,publicScore
2026-07-07T00:42:52,54399912,alakazam_rb__alakazam_5th.zip,COMPLETE,562.2
2026-07-07T00:42:52,54399821,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,COMPLETE,458.3
2026-07-07T00:42:52,54397129,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,ERROR,
2026-07-07T00:42:52,54397112,archaludon_rb__archaludon_cityleague.zip,ERROR,
2026-07-07T00:42:52,54394772,archaludon_rb__archaludon_cityleague.zip,COMPLETE,879.7
2026-07-07T00:42:52,54271031,cubchoo_ogerpon_rb__winrate_1_cubchoo_ogerpon.zip,COMPLETE,149.7
2026-07-07T06:36:38,54399912,alakazam_rb__alakazam_5th.zip,COMPLETE,616.1
2026-07-07T06:36:38,54399821,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,COMPLETE,569.8
2026-07-07T06:36:38,54397129,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,ERROR,
2026-07-07T06:36:38,54397112,archaludon_rb__archaludon_cityleague.zip,ERROR,
2026-07-07T06:36:38,54394772,archaludon_rb__archaludon_cityleague.zip,COMPLETE,879.7
2026-07-07T06:36:38,54271031,cubchoo_ogerpon_rb__winrate_1_cubchoo_ogerpon.zip,COMPLETE,149.7
2026-07-07T06:47:04,54399912,alakazam_rb__alakazam_5th.zip,COMPLETE,616.1
2026-07-07T06:47:04,54399821,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,COMPLETE,564.7
2026-07-07T06:47:04,54397129,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,ERROR,
2026-07-07T06:47:04,54397112,archaludon_rb__archaludon_cityleague.zip,ERROR,
2026-07-07T06:47:04,54394772,archaludon_rb__archaludon_cityleague.zip,COMPLETE,879.7
2026-07-07T06:47:04,54271031,cubchoo_ogerpon_rb__winrate_1_cubchoo_ogerpon.zip,COMPLETE,149.7
2026-07-07T14:17:28,54399912,alakazam_rb__alakazam_5th.zip,COMPLETE,611.8
2026-07-07T14:17:28,54399821,marnie_munkidori_rb__winrate_2_marnie_grimmsnarl.zip,COMPLETE,590.2
