archetype,share,field_wr,agent_or_deck,deck
marnie,34.0,44.1,agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv
alakazam,20.0,55.0,agents/alakazam_rb,decks/candidates/alakazam_5th.csv
kangaskhan,9.5,55.3,agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv
garchomp,8.5,47.1,agents/cynthia_garchomp_rb,decks/candidates/cynthia_garchomp_top.csv
okidogi,4.8,50.0,generic,decks/candidates/small_okidogi.csv
comfey_yveltal,4.8,36.8,generic,decks/candidates/small_comfey_yveltal.csv
chandelure,4.5,83.3,agents/chandelure_rb,decks/candidates/chandelure_top.csv
lopunny,3.8,66.7,generic,decks/candidates/small_lopunny.csv
megastarmie,3.5,50.0,generic,decks/candidates/small_megastarmie.csv
rocket,2.0,25.0,generic,decks/candidates/small_rocket.csv
archaludon,2.0,37.5,agents/archaludon_rb,decks/candidates/archaludon_cityleague.csv
