agent_a,agent_b,a_wins,b_wins,draws_unfinished
crustle,alakazam,49,31,0
crustle,marnie,67,13,0
crustle,chandelure,53,27,0
crustle,garchomp,50,30,0
crustle,dragapult,29,51,0
crustle,drag_dusk,34,46,0
crustle,kangaskhan,71,9,0
crustle,froslass,35,45,0
crustle,archaludon,67,13,0
alakazam,marnie,15,65,0
alakazam,chandelure,8,72,0
alakazam,garchomp,20,60,0
alakazam,dragapult,30,50,0
alakazam,drag_dusk,54,26,0
alakazam,kangaskhan,55,25,0
alakazam,froslass,46,34,0
alakazam,archaludon,47,33,0
marnie,chandelure,32,48,0
marnie,garchomp,45,35,0
marnie,dragapult,59,21,0
marnie,drag_dusk,54,26,0
marnie,kangaskhan,49,31,0
marnie,froslass,51,29,0
marnie,archaludon,36,44,0
chandelure,garchomp,46,34,0
chandelure,dragapult,12,68,0
chandelure,drag_dusk,25,55,0
chandelure,kangaskhan,57,23,0
chandelure,froslass,9,71,0
chandelure,archaludon,63,17,0
garchomp,dragapult,43,37,0
garchomp,drag_dusk,57,23,0
garchomp,kangaskhan,57,23,0
garchomp,froslass,44,36,0
garchomp,archaludon,34,46,0
dragapult,drag_dusk,59,21,0
dragapult,kangaskhan,64,16,0
dragapult,froslass,34,46,0
dragapult,archaludon,31,49,0
drag_dusk,kangaskhan,50,30,0
drag_dusk,froslass,25,55,0
drag_dusk,archaludon,17,63,0
kangaskhan,froslass,20,60,0
kangaskhan,archaludon,18,62,0
froslass,archaludon,20,60,0
