agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,alakazam,29.9,80,40,40,0,0,0.5000
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,marnie_luca,22.0,80,29,51,0,0,0.3625
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,marnie_main,16.3,80,29,51,0,0,0.3625
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,crustle_wall,17.8,80,30,50,0,0,0.3750
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,rocket,8.6,80,20,60,0,0,0.2500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,froslass_starmie,2.0,80,37,43,0,0,0.4625
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,alakazam,29.9,80,25,55,0,0,0.3125
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,marnie_luca,22.0,80,43,37,0,0,0.5375
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,marnie_main,16.3,80,34,46,0,0,0.4250
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,crustle_wall,17.8,80,14,66,0,0,0.1750
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,rocket,8.6,80,77,3,0,0,0.9625
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,froslass_starmie,2.0,80,67,13,0,0,0.8375
agents/chandelure_rb,decks/fleet/chandelure_top.csv,alakazam,29.9,80,57,23,0,0,0.7125
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie_luca,22.0,80,41,39,0,0,0.5125
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie_main,16.3,80,30,50,0,0,0.3750
agents/chandelure_rb,decks/fleet/chandelure_top.csv,crustle_wall,17.8,80,30,50,0,0,0.3750
agents/chandelure_rb,decks/fleet/chandelure_top.csv,rocket,8.6,80,44,36,0,0,0.5500
agents/chandelure_rb,decks/fleet/chandelure_top.csv,froslass_starmie,2.0,80,8,72,0,0,0.1000
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,alakazam,29.9,80,44,36,0,0,0.5500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,marnie_luca,22.0,80,50,30,0,0,0.6250
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,marnie_main,16.3,80,38,41,1,0,0.4810
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_wall,17.8,80,38,42,0,0,0.4750
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,rocket,8.6,80,25,55,0,0,0.3125
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,froslass_starmie,2.0,80,32,48,0,0,0.4000
agents/cynthia_garchomp_rb,decks/fleet/cynthia_garchomp_top.csv,alakazam,29.9,80,55,25,0,0,0.6875
agents/cynthia_garchomp_rb,decks/fleet/cynthia_garchomp_top.csv,marnie_luca,22.0,80,38,42,0,0,0.4750
agents/cynthia_garchomp_rb,decks/fleet/cynthia_garchomp_top.csv,marnie_main,16.3,80,41,39,0,0,0.5125
agents/cynthia_garchomp_rb,decks/fleet/cynthia_garchomp_top.csv,crustle_wall,17.8,80,30,50,0,0,0.3750
agents/cynthia_garchomp_rb,decks/fleet/cynthia_garchomp_top.csv,rocket,8.6,80,59,21,0,0,0.7375
agents/cynthia_garchomp_rb,decks/fleet/cynthia_garchomp_top.csv,froslass_starmie,2.0,80,42,38,0,0,0.5250
agents/dragapult_rb,decks/fleet/popular_4_dragapult.csv,alakazam,29.9,80,50,30,0,0,0.6250
agents/dragapult_rb,decks/fleet/popular_4_dragapult.csv,marnie_luca,22.0,80,26,54,0,0,0.3250
agents/dragapult_rb,decks/fleet/popular_4_dragapult.csv,marnie_main,16.3,80,25,55,0,0,0.3125
agents/dragapult_rb,decks/fleet/popular_4_dragapult.csv,crustle_wall,17.8,80,52,28,0,0,0.6500
agents/dragapult_rb,decks/fleet/popular_4_dragapult.csv,rocket,8.6,80,65,15,0,0,0.8125
agents/dragapult_rb,decks/fleet/popular_4_dragapult.csv,froslass_starmie,2.0,80,32,48,0,0,0.4000
