agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,alakazam,43.0,80,40,40,0,0,0.5000
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,garchomp,20.2,80,28,52,0,0,0.3500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,rocket,14.0,80,11,69,0,0,0.1375
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,marnie,8.9,80,28,52,0,0,0.3500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,dragapult_dusknoir,7.0,80,52,28,0,0,0.6500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,dragapult,5.3,80,62,18,0,0,0.7750
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,crustle_wall,1.1,80,37,43,0,0,0.4625
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,alakazam,43.0,80,35,45,0,0,0.4375
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,garchomp,20.2,80,42,38,0,0,0.5250
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,rocket,14.0,80,71,9,0,0,0.8875
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,marnie,8.9,80,43,37,0,0,0.5375
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,dragapult_dusknoir,7.0,80,55,25,0,0,0.6875
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,dragapult,5.3,80,70,10,0,0,0.8750
agents/archaludon_rb,decks/fleet/archaludon_cityleague.csv,crustle_wall,1.1,80,14,66,0,0,0.1750
agents/chandelure_rb,decks/fleet/chandelure_top.csv,alakazam,43.0,80,55,25,0,0,0.6875
agents/chandelure_rb,decks/fleet/chandelure_top.csv,garchomp,20.2,80,44,36,0,0,0.5500
agents/chandelure_rb,decks/fleet/chandelure_top.csv,rocket,14.0,80,41,39,0,0,0.5125
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie,8.9,80,38,42,0,0,0.4750
agents/chandelure_rb,decks/fleet/chandelure_top.csv,dragapult_dusknoir,7.0,80,35,45,0,0,0.4375
agents/chandelure_rb,decks/fleet/chandelure_top.csv,dragapult,5.3,80,57,23,0,0,0.7125
agents/chandelure_rb,decks/fleet/chandelure_top.csv,crustle_wall,1.1,80,69,11,0,0,0.8625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,alakazam,43.0,80,48,32,0,0,0.6000
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,garchomp,20.2,80,53,27,0,0,0.6625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,rocket,14.0,80,20,60,0,0,0.2500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,marnie,8.9,80,36,44,0,0,0.4500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,dragapult_dusknoir,7.0,80,38,42,0,0,0.4750
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,dragapult,5.3,80,60,20,0,0,0.7500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_wall,1.1,80,46,33,1,0,0.5823
