agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/chandelure_rb,decks/candidates/chandelure_top.csv,marnie,34.0,30,17,13,0,0,0.5667
agents/chandelure_rb,decks/candidates/chandelure_top.csv,alakazam,20.0,30,24,6,0,0,0.8000
agents/chandelure_rb,decks/candidates/chandelure_top.csv,kangaskhan,9.5,30,21,9,0,0,0.7000
agents/chandelure_rb,decks/candidates/chandelure_top.csv,garchomp,8.5,30,15,15,0,0,0.5000
agents/chandelure_rb,decks/candidates/chandelure_top.csv,okidogi,4.8,30,24,6,0,0,0.8000
agents/chandelure_rb,decks/candidates/chandelure_top.csv,comfey_yveltal,4.8,30,20,10,0,0,0.6667
agents/chandelure_rb,decks/candidates/chandelure_top.csv,chandelure,4.5,30,11,19,0,0,0.3667
agents/chandelure_rb,decks/candidates/chandelure_top.csv,lopunny,3.8,30,27,3,0,0,0.9000
agents/chandelure_rb,decks/candidates/chandelure_top.csv,megastarmie,3.5,30,12,18,0,0,0.4000
agents/chandelure_rb,decks/candidates/chandelure_top.csv,rocket,2.0,30,28,2,0,0,0.9333
agents/chandelure_rb,decks/candidates/chandelure_top.csv,archaludon,2.0,30,19,11,0,0,0.6333
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,marnie,34.0,30,6,24,0,0,0.2000
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,alakazam,20.0,30,11,19,0,0,0.3667
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,kangaskhan,9.5,30,15,15,0,0,0.5000
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,garchomp,8.5,30,14,16,0,0,0.4667
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,okidogi,4.8,30,24,6,0,0,0.8000
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,comfey_yveltal,4.8,30,19,11,0,0,0.6333
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,chandelure,4.5,30,3,27,0,0,0.1000
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,lopunny,3.8,30,20,10,0,0,0.6667
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,megastarmie,3.5,30,15,15,0,0,0.5000
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,rocket,2.0,30,6,24,0,0,0.2000
agents/alakazam_rb,decks/candidates/alakazam_5th.csv,archaludon,2.0,30,20,10,0,0,0.6667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,marnie,34.0,30,12,18,0,0,0.4000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,alakazam,20.0,30,21,9,0,0,0.7000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,kangaskhan,9.5,30,10,20,0,0,0.3333
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,garchomp,8.5,30,14,16,0,0,0.4667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,okidogi,4.8,30,24,6,0,0,0.8000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,comfey_yveltal,4.8,30,30,0,0,0,1.0000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,chandelure,4.5,30,20,10,0,0,0.6667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,lopunny,3.8,30,25,5,0,0,0.8333
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,megastarmie,3.5,30,22,8,0,0,0.7333
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,rocket,2.0,30,29,1,0,0,0.9667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,archaludon,2.0,30,7,23,0,0,0.2333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,marnie,34.0,60,25,35,0,0,0.4167
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,alakazam,20.0,60,36,24,0,0,0.6000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,kangaskhan,9.5,60,42,18,0,0,0.7000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,garchomp,8.5,60,28,32,0,0,0.4667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,okidogi,4.8,60,58,2,0,0,0.9667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,comfey_yveltal,4.8,60,55,5,0,0,0.9167
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,chandelure,4.5,60,38,22,0,0,0.6333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,lopunny,3.8,60,54,6,0,0,0.9000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,megastarmie,3.5,60,33,27,0,0,0.5500
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,rocket,2.0,60,57,3,0,0,0.9500
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,archaludon,2.0,60,24,36,0,0,0.4000
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,marnie,34.0,30,17,13,0,0,0.5667
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,alakazam,20.0,30,12,18,0,0,0.4000
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,kangaskhan,9.5,30,12,18,0,0,0.4000
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,garchomp,8.5,30,11,19,0,0,0.3667
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,okidogi,4.8,30,13,17,0,0,0.4333
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,comfey_yveltal,4.8,30,22,8,0,0,0.7333
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,chandelure,4.5,30,7,23,0,0,0.2333
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,lopunny,3.8,30,24,6,0,0,0.8000
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,megastarmie,3.5,30,17,13,0,0,0.5667
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,rocket,2.0,30,29,1,0,0,0.9667
agents/mega_kangaskhan_rb,decks/candidates/mega_kangaskhan_top.csv,archaludon,2.0,30,10,20,0,0,0.3333
agents/archaludon_rb,decks/candidates/archaludon_cityleague.csv,marnie,34.0,30,23,7,0,0,0.7667
agents/archaludon_rb,decks/candidates/archaludon_cityleague.csv,alakazam,20.0,30,19,11,0,0,0.6333
agents/archaludon_rb,decks/candidates/archaludon_cityleague.csv,kangaskhan,9.5,30,23,7,0,0,0.7667
