agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,marnie,34.0,80,22,58,0,0,0.2750
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,alakazam,20.0,80,52,28,0,0,0.6500
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,kangaskhan,9.5,80,69,11,0,0,0.8625
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,garchomp,8.5,80,34,46,0,0,0.4250
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,okidogi,4.8,80,77,3,0,0,0.9625
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,comfey_yveltal,4.8,80,80,0,0,0,1.0000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,chandelure,4.5,80,57,23,0,0,0.7125
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,lopunny,3.8,80,75,5,0,0,0.9375
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,megastarmie,3.5,80,48,32,0,0,0.6000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,rocket,2.0,80,77,3,0,0,0.9625
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,archaludon,2.0,80,34,46,0,0,0.4250
