agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,marnie[tuned],34.0,30,18,12,0,0,0.6000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,marnie[generic],34.0,30,24,6,0,0,0.8000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,alakazam[tuned],20.0,30,20,10,0,0,0.6667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,alakazam[generic],20.0,30,30,0,0,0,1.0000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,kangaskhan[tuned],9.5,30,16,14,0,0,0.5333
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,kangaskhan[generic],9.5,30,16,14,0,0,0.5333
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,garchomp[tuned],8.5,30,11,19,0,0,0.3667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,garchomp[generic],8.5,30,21,9,0,0,0.7000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,okidogi[generic],4.8,30,27,3,0,0,0.9000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,comfey_yveltal[generic],4.8,30,30,0,0,0,1.0000
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,chandelure[tuned],4.5,30,14,16,0,0,0.4667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,chandelure[generic],4.5,30,29,1,0,0,0.9667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,lopunny[generic],3.8,30,26,4,0,0,0.8667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,megastarmie[generic],3.5,30,20,10,0,0,0.6667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,rocket[generic],2.0,30,28,2,0,0,0.9333
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,archaludon[tuned],2.0,30,14,16,0,0,0.4667
agents/marnie_munkidori_rb,decks/candidates/2026-06-30_top5/winrate_2_marnie_grimmsnarl.csv,archaludon[generic],2.0,30,22,8,0,0,0.7333
